# epoch total_loss data_loss physics_loss w_data w_physics lr
1.0000000000e+00 1.0317311287e+00 9.7624534369e-01 1.0866264105e+00 4.9732457735e-01 5.0267542216e-01 1.0000000000e-03
2.0000000000e+00 6.5510410070e-01 7.0940434933e-01 6.0042190552e-01 5.0175230623e-01 4.9824769257e-01 1.0000000000e-03
3.0000000000e+00 4.4024473429e-01 5.0202429295e-01 3.7626799941e-01 5.0873621176e-01 4.9126378602e-01 1.0000000000e-03
4.0000000000e+00 3.1644850969e-01 3.4959775209e-01 2.8149336576e-01 5.1325835463e-01 4.8674164179e-01 1.0000000000e-03
5.0000000000e+00 2.3798802495e-01 2.5453525782e-01 2.2038003802e-01 5.1552844557e-01 4.8447154910e-01 1.0000000000e-03
6.0000000000e+00 1.9579048455e-01 2.1761761606e-01 1.7216275632e-01 5.1980642932e-01 4.8019356332e-01 1.0000000000e-03
7.0000000000e+00 1.9370320439e-01 2.2339694202e-01 1.6075469553e-01 5.2597910773e-01 4.7402088305e-01 1.0000000000e-03
8.0000000000e+00 2.0366039872e-01 2.3375439644e-01 1.6954123974e-01 5.3134224827e-01 4.6865774095e-01 1.0000000000e-03
9.0000000000e+00 1.9882097840e-01 2.3083123565e-01 1.6169235110e-01 5.3701499392e-01 4.6298499383e-01 1.0000000000e-03
1.0000000000e+01 1.7347539961e-01 2.1602629125e-01 1.2205098569e-01 5.4721198744e-01 4.5278799857e-01 1.0000000000e-03
1.1000000000e+01 1.4389701188e-01 2.0013546944e-01 7.0415005088e-02 5.6646421728e-01 4.3353576644e-01 1.0000000000e-03
1.2000000000e+01 1.3421978056e-01 1.9689062238e-01 4.3373949826e-02 5.9176521392e-01 4.0823476726e-01 1.0000000000e-03
1.3000000000e+01 1.4744041860e-01 2.0887190104e-01 5.0024885684e-02 6.1326636165e-01 3.8673361755e-01 1.0000000000e-03
1.4000000000e+01 1.6527579725e-01 2.2384729981e-01 6.5887920558e-02 6.2919898717e-01 3.7080099066e-01 1.0000000000e-03
1.5000000000e+01 1.7117160559e-01 2.2872783244e-01 6.7254111171e-02 6.4355671624e-01 3.5644326043e-01 1.0000000000e-03
1.6000000000e+01 1.6446386278e-01 2.2149689496e-01 5.3941350430e-02 6.5961721435e-01 3.4038276102e-01 1.0000000000e-03
1.7000000000e+01 1.5335324407e-01 2.0765492320e-01 3.9119120687e-02 6.7780328719e-01 3.2219668659e-01 1.0000000000e-03
1.8000000000e+01 1.4480745792e-01 1.9355800748e-01 3.3598411828e-02 6.9523208422e-01 3.0476788778e-01 1.0000000000e-03
1.9000000000e+01 1.4114981890e-01 1.8320061266e-01 3.9138957858e-02 7.0810563675e-01 2.9189433356e-01 1.0000000000e-03
2.0000000000e+01 1.4139401913e-01 1.7756152153e-01 5.0606507808e-02 7.1511557854e-01 2.8488439035e-01 1.0000000000e-03
2.1000000000e+01 1.4280802011e-01 1.7486287653e-01 6.1340220273e-02 7.1763474742e-01 2.8236522035e-01 1.0000000000e-03
2.2000000000e+01 1.4209873974e-01 1.7174044251e-01 6.6661782563e-02 7.1790937352e-01 2.8209059328e-01 1.0000000000e-03
2.3000000000e+01 1.3740640879e-01 1.6581843793e-01 6.5091833472e-02 7.1792920047e-01 2.8207076531e-01 1.0000000000e-03
