# time_s Ids_A Vds_V Vgs_V
4.4160000101e-08 1.0156250000e+01 3.6467187500e+02 9.8898439407e+00
5.3760000895e-08 2.5375000000e+01 3.5617187500e+02 1.1013280869e+01
6.3359998137e-08 4.1500000000e+01 3.4853125000e+02 1.2017969131e+01
7.2959998931e-08 6.4093750000e+01 3.4015625000e+02 1.2639062881e+01
8.2559999726e-08 8.5750000000e+01 3.3529687500e+02 1.3427343369e+01
9.2160000520e-08 1.0725000000e+02 3.3414062500e+02 1.3925000191e+01
1.0176000131e-07 1.2893750000e+02 3.3646875000e+02 1.4525781631e+01
1.1136000211e-07 1.4975000000e+02 3.3870312500e+02 1.5028124809e+01
1.2095999580e-07 1.7190625000e+02 3.4343750000e+02 1.5296875000e+01
1.3055999659e-07 1.8990625000e+02 3.5118750000e+02 1.5646093369e+01
1.4015999739e-07 2.0868750000e+02 3.5829687500e+02 1.5912500381e+01
1.4975999818e-07 2.2787500000e+02 3.6510937500e+02 1.6253906250e+01
1.5935999897e-07 2.4490625000e+02 3.6904687500e+02 1.6335155487e+01
1.6895999977e-07 2.5728125000e+02 3.7457812500e+02 1.6516407013e+01
1.7856000056e-07 2.7506250000e+02 3.7450000000e+02 1.6561717987e+01
1.8816000136e-07 2.8353125000e+02 3.7367187500e+02 1.6706249237e+01
1.9776000215e-07 2.9400000000e+02 3.7151562500e+02 1.6834375381e+01
2.0736000295e-07 3.0546875000e+02 3.6993750000e+02 1.6853906631e+01
2.1696000374e-07 3.1712500000e+02 3.6921875000e+02 1.6905467987e+01
2.2656000453e-07 3.2918750000e+02 3.6868750000e+02 1.7162500381e+01
2.3616000533e-07 3.3615625000e+02 3.6862500000e+02 1.7185155869e+01
2.4575999191e-07 3.4471875000e+02 3.7156250000e+02 1.7100780487e+01
2.5535999271e-07 3.5384375000e+02 3.7559375000e+02 1.7362499237e+01
2.6495999350e-07 3.6084375000e+02 3.7765625000e+02 1.7299999237e+01
2.7455999430e-07 3.7046875000e+02 3.8179687500e+02 1.7524999619e+01
2.8415999509e-07 3.7993750000e+02 3.8576562500e+02 1.7494531631e+01
2.9375999588e-07 3.8528125000e+02 3.8631250000e+02 1.7581249237e+01
3.0335999668e-07 3.9506250000e+02 3.8689062500e+02 1.7541406631e+01
3.1295999747e-07 4.0346875000e+02 3.8575000000e+02 1.7507030487e+01
3.2255999827e-07 4.0378125000e+02 3.8398437500e+02 1.7628124237e+01
3.3215999906e-07 4.1296875000e+02 3.8412500000e+02 1.7593750000e+01
