# time_s Ids_A Vds_V Vgs_V
4.2719999982e-08 1.0937500000e+01 3.6682812500e+02 9.5867185593e+00
5.2960000829e-08 2.6781250000e+01 3.5357812500e+02 1.0967187881e+01
6.2559998071e-08 4.3250000000e+01 3.4635937500e+02 1.1953125000e+01
7.2159998865e-08 6.5375000000e+01 3.3989062500e+02 1.2904687881e+01
8.1759999659e-08 8.5781250000e+01 3.3437500000e+02 1.3381250381e+01
9.1360000454e-08 1.0731250000e+02 3.3354687500e+02 1.4028124809e+01
1.0096000125e-07 1.2921875000e+02 3.3400000000e+02 1.4514062881e+01
1.1056000204e-07 1.5065625000e+02 3.3725000000e+02 1.5061718941e+01
1.2015999573e-07 1.7406250000e+02 3.4231250000e+02 1.5300781250e+01
1.2975999653e-07 1.9337500000e+02 3.5145312500e+02 1.5735937119e+01
1.3935999732e-07 2.1615625000e+02 3.5931250000e+02 1.6019531250e+01
1.4895999811e-07 2.2981250000e+02 3.6481250000e+02 1.6321094513e+01
1.5855999891e-07 2.4493750000e+02 3.7007812500e+02 1.6399219513e+01
1.6815999970e-07 2.6356250000e+02 3.7329687500e+02 1.6457813263e+01
1.7776000050e-07 2.7496875000e+02 3.7370312500e+02 1.6728906631e+01
1.8736000129e-07 2.8862500000e+02 3.7159375000e+02 1.6722656250e+01
1.9696000209e-07 2.9790625000e+02 3.7082812500e+02 1.6960155487e+01
2.0656000288e-07 3.1356250000e+02 3.6810937500e+02 1.7078907013e+01
2.1616000367e-07 3.2425000000e+02 3.6735937500e+02 1.7079687119e+01
2.2576000447e-07 3.3437500000e+02 3.6812500000e+02 1.7247655869e+01
2.3536000526e-07 3.4156250000e+02 3.6912500000e+02 1.7206249237e+01
2.4496000606e-07 3.5212500000e+02 3.7114062500e+02 1.7403905869e+01
2.5456000685e-07 3.6331250000e+02 3.7725000000e+02 1.7428125381e+01
2.6416000765e-07 3.6700000000e+02 3.7848437500e+02 1.7440624237e+01
2.7376000844e-07 3.8075000000e+02 3.8210937500e+02 1.7611719131e+01
2.8336000923e-07 3.8840625000e+02 3.8453125000e+02 1.7596874237e+01
2.9296001003e-07 3.9678125000e+02 3.8514062500e+02 1.7571874619e+01
3.0256001082e-07 4.0131250000e+02 3.8345312500e+02 1.7710937500e+01
3.1216001162e-07 4.0884375000e+02 3.8451562500e+02 1.7571874619e+01
3.2176001241e-07 4.1293750000e+02 3.8337500000e+02 1.7671092987e+01
3.3136001321e-07 4.1815625000e+02 3.8062500000e+02 1.7668750763e+01
3.4096001400e-07 4.2409375000e+02 3.8110937500e+02 1.7740625381e+01
3.5055998637e-07 4.3350000000e+02 3.8187500000e+02 1.7720312119e+01
3.6015998717e-07 4.3484375000e+02 3.8051562500e+02 1.7785156250e+01
3.6975998796e-07 4.4146875000e+02 3.8376562500e+02 1.7767187119e+01
3.7935998876e-07 4.4784375000e+02 3.8564062500e+02 1.7796092987e+01
3.8895998955e-07 4.5409375000e+02 3.8860937500e+02 1.7895313263e+01
3.9855999034e-07 4.5953125000e+02 3.8956250000e+02 1.7892969131e+01
4.0815999114e-07 4.5943750000e+02 3.8862500000e+02 1.7912500381e+01
4.1775999193e-07 4.6068750000e+02 3.9165625000e+02 1.7802343369e+01
4.2735999273e-07 4.7209375000e+02 3.8996875000e+02 1.7954687119e+01
4.3695999352e-07 4.7428125000e+02 3.9129687500e+02 1.7672657013e+01
4.4655999432e-07 4.7668750000e+02 3.8929687500e+02 1.7805469513e+01
4.5615999511e-07 4.7762500000e+02 3.8795312500e+02 1.7879688263e+01
4.6575999590e-07 4.8290625000e+02 3.8898437500e+02 1.7781250000e+01
4.7535999670e-07 4.8531250000e+02 3.8920312500e+02 1.7793750763e+01
4.8496002591e-07 4.8603125000e+02 3.9021875000e+02 1.7950780869e+01
4.9456002671e-07 4.8706250000e+02 3.9237500000e+02 1.7874217987e+01
5.0416002750e-07 4.9115625000e+02 3.9298437500e+02 1.7820312500e+01
5.1376002830e-07 4.9728125000e+02 3.9243750000e+02 1.7949218750e+01
5.2335997225e-07 4.9906250000e+02 3.9398437500e+02 1.7764062881e+01
5.3295997304e-07 4.9984375000e+02 3.9548437500e+02 1.7793750763e+01
5.4255997384e-07 5.0343750000e+02 3.9303125000e+02 1.7801563263e+01
5.5215997463e-07 5.0256250000e+02 3.9470312500e+02 1.7882812500e+01
5.6175997543e-07 5.0296875000e+02 3.9404687500e+02 1.7771093369e+01
5.7135997622e-07 5.0690625000e+02 3.9437500000e+02 1.7796875000e+01
5.8095997701e-07 5.0840625000e+02 3.9273437500e+02 1.7888280869e+01
5.9055997781e-07 5.0931250000e+02 3.9500000000e+02 1.7801563263e+01
6.0015997860e-07 5.1009375000e+02 3.9475000000e+02 1.7769531250e+01
6.0975997940e-07 5.1025000000e+02 3.9489062500e+02 1.7912500381e+01
6.1935998019e-07 5.1078125000e+02 3.9698437500e+02 1.7971094131e+01
6.2895998099e-07 5.1209375000e+02 3.9598437500e+02 1.7798437119e+01
6.3855998178e-07 5.1512500000e+02 3.9764062500e+02 1.7897655487e+01
6.4815998257e-07 5.1578125000e+02 3.9818750000e+02 1.7875000000e+01
6.5775998337e-07 5.1828125000e+02 3.9593750000e+02 1.7910938263e+01
6.6735998416e-07 5.1290625000e+02 3.9760937500e+02 1.7832813263e+01
6.7695998496e-07 5.1643750000e+02 3.9489062500e+02 1.7792186737e+01
6.8655998575e-07 5.2178125000e+02 3.9646875000e+02 1.7975780487e+01
6.9615998655e-07 5.2165625000e+02 3.9784375000e+02 1.7949218750e+01
7.0575998734e-07 5.1971875000e+02 3.9800000000e+02 1.7829687119e+01
7.1535998813e-07 5.1875000000e+02 3.9845312500e+02 1.7912500381e+01
7.2495998893e-07 5.2165625000e+02 3.9698437500e+02 1.7774999619e+01
7.3455998972e-07 5.2109375000e+02 3.9621875000e+02 1.7875782013e+01
7.4415999052e-07 5.2006250000e+02 3.9639062500e+02 1.7842187881e+01
