# epoch total_loss data_loss physics_loss w_data w_physics lr
1.0000000000e+00 1.2672524452e+00 1.0754518509e+00 1.4534041882e+00 4.9252720717e-01 5.0747279244e-01 1.0000000000e-03
2.0000000000e+00 7.3594462872e-01 7.8591740131e-01 6.8663793802e-01 4.9664547869e-01 5.0335452027e-01 1.0000000000e-03
3.0000000000e+00 4.3231266737e-01 5.5455648899e-01 3.0428704619e-01 5.1155107193e-01 4.8844892597e-01 1.0000000000e-03
4.0000000000e+00 2.8770145774e-01 3.7373778224e-01 1.9205337763e-01 5.2645174682e-01 4.7354824952e-01 1.0000000000e-03
5.0000000000e+00 2.3540160060e-01 2.5121706724e-01 2.1775406599e-01 5.2737427473e-01 4.7262571985e-01 1.0000000000e-03
6.0000000000e+00 2.2485868633e-01 1.9891417027e-01 2.5281599164e-01 5.1867069371e-01 4.8132929920e-01 1.0000000000e-03
7.0000000000e+00 2.3123881221e-01 2.0653365552e-01 2.5709173083e-01 5.1135115283e-01 4.8864883863e-01 1.0000000000e-03
8.0000000000e+00 2.3699727654e-01 2.3148061335e-01 2.4271689355e-01 5.0903126856e-01 4.9096872164e-01 1.0000000000e-03
9.0000000000e+00 2.3160050809e-01 2.4548357725e-01 2.1708132327e-01 5.1119822369e-01 4.8880176533e-01 1.0000000000e-03
1.0000000000e+01 2.1445755661e-01 2.4421384931e-01 1.8256826699e-01 5.1730053746e-01 4.8269945032e-01 1.0000000000e-03
1.1000000000e+01 1.9002729654e-01 2.3465201259e-01 1.4006987214e-01 5.2819079384e-01 4.7180919249e-01 1.0000000000e-03
1.2000000000e+01 1.6723428667e-01 2.2623020411e-01 9.6430279315e-02 5.4548572243e-01 4.5451426217e-01 1.0000000000e-03
1.3000000000e+01 1.5892986953e-01 2.2698919475e-01 6.9641254842e-02 5.6745970120e-01 4.3254028157e-01 1.0000000000e-03
1.4000000000e+01 1.6607931256e-01 2.3528558016e-01 6.7094944417e-02 5.8852481786e-01 4.1147516333e-01 1.0000000000e-03
1.5000000000e+01 1.7774352431e-01 2.4247056246e-01 7.8516930342e-02 6.0521127773e-01 3.9478870222e-01 1.0000000000e-03
