# epoch total_loss data_loss physics_loss w_data w_physics lr
1.0000000000e+00 1.0567551851e+00 1.0621817112e+00 1.0513230562e+00 5.0025688716e-01 4.9974311236e-01 1.0000000000e-03
2.0000000000e+00 7.7398419380e-01 8.3459615707e-01 7.1234959364e-01 5.0418242145e-01 4.9581757748e-01 1.0000000000e-03
3.0000000000e+00 6.1822032928e-01 6.5519148111e-01 5.8022993803e-01 5.0679802392e-01 4.9320197430e-01 1.0000000000e-03
4.0000000000e+00 4.9795833230e-01 5.1639306545e-01 4.7892403603e-01 5.0800048694e-01 4.9199951046e-01 1.0000000000e-03
5.0000000000e+00 3.9207383990e-01 4.1426160932e-01 3.6897200346e-01 5.1009163153e-01 4.8990836485e-01 1.0000000000e-03
6.0000000000e+00 3.1082758307e-01 3.4317660332e-01 2.7655208111e-01 5.1445776509e-01 4.8554223004e-01 1.0000000000e-03
7.0000000000e+00 2.6317852736e-01 2.9065427184e-01 2.3359696567e-01 5.1845377784e-01 4.8154621587e-01 1.0000000000e-03
8.0000000000e+00 2.3037832975e-01 2.4147322774e-01 2.1840132773e-01 5.1911689821e-01 4.8088309395e-01 1.0000000000e-03
9.0000000000e+00 1.8705493212e-01 1.9056239724e-01 1.8328279257e-01 5.1817881922e-01 4.8182117105e-01 1.0000000000e-03
1.0000000000e+01 1.4234577119e-01 1.4506305754e-01 1.3943313062e-01 5.1735039110e-01 4.8264959663e-01 1.0000000000e-03
1.1000000000e+01 1.1657604575e-01 1.1617729813e-01 1.1700020730e-01 5.1543889433e-01 4.8456109034e-01 1.0000000000e-03
1.2000000000e+01 1.1402623355e-01 1.0986019671e-01 1.1839759350e-01 5.1202488112e-01 4.8797510070e-01 1.0000000000e-03
1.3000000000e+01 1.2402326614e-01 1.2114460021e-01 1.2701511383e-01 5.0963958149e-01 4.9036039812e-01 1.0000000000e-03
1.4000000000e+01 1.3550676405e-01 1.3729973137e-01 1.3364547491e-01 5.0934997488e-01 4.9065000308e-01 1.0000000000e-03
1.5000000000e+01 1.3869735599e-01 1.4631660283e-01 1.3072806597e-01 5.1122833712e-01 4.8877163943e-01 1.0000000000e-03
1.6000000000e+01 1.2907493114e-01 1.4504535496e-01 1.1201238632e-01 5.1653070523e-01 4.8346926978e-01 1.0000000000e-03
1.7000000000e+01 1.1452636123e-01 1.4015972614e-01 8.5983060300e-02 5.2685605204e-01 4.7314392105e-01 1.0000000000e-03
1.8000000000e+01 1.0702098906e-01 1.3911451399e-01 6.9201469421e-02 5.4095097180e-01 4.5904899917e-01 1.0000000000e-03
1.9000000000e+01 1.0771784186e-01 1.4137792587e-01 6.5716348588e-02 5.5512329506e-01 4.4487667399e-01 1.0000000000e-03
2.0000000000e+01 1.0822874308e-01 1.4135794342e-01 6.4628072083e-02 5.6823598177e-01 4.3176398551e-01 1.0000000000e-03
2.1000000000e+01 1.0497093201e-01 1.3807995617e-01 5.8968979865e-02 5.8148632154e-01 4.1851364394e-01 1.0000000000e-03
2.2000000000e+01 1.0056664050e-01 1.3458979130e-01 5.0350643694e-02 5.9611235547e-01 4.0388760806e-01 1.0000000000e-03
2.3000000000e+01 9.7270622849e-02 1.3243776560e-01 4.1667774320e-02 6.1256863510e-01 3.8743132633e-01 1.0000000000e-03
2.4000000000e+01 9.5209866762e-02 1.3027314842e-01 3.5538591444e-02 6.2987866961e-01 3.7012128965e-01 1.0000000000e-03
2.5000000000e+01 9.3726463616e-02 1.2601841986e-01 3.5017866641e-02 6.4514547107e-01 3.5485448606e-01 1.0000000000e-03
2.6000000000e+01 9.1796524823e-02 1.1863202602e-01 4.0843520314e-02 6.5501976997e-01 3.4498018518e-01 1.0000000000e-03
