# time_s Ids_A Vds_V Vgs_V
4.0500001575e-08 1.0600000381e+01 5.6900000000e+02 9.2600002289e+00
5.2000000750e-08 2.5200000763e+01 5.5100000000e+02 1.0899999619e+01
6.1599997991e-08 4.3500000000e+01 5.4300000000e+02 1.1899999619e+01
7.1199998786e-08 6.2799999237e+01 5.3900000000e+02 1.2699999809e+01
8.0799999580e-08 9.0300003052e+01 5.3400000000e+02 1.3500000000e+01
9.0400000374e-08 1.1300000000e+02 5.3600000000e+02 1.3899999619e+01
1.0000000117e-07 1.3600000000e+02 5.3900000000e+02 1.4600000381e+01
1.1000000200e-07 1.5900000000e+02 5.4800000000e+02 1.5000000000e+01
1.1899999919e-07 1.7700000000e+02 5.5600000000e+02 1.5399999619e+01
1.2900000002e-07 1.9900000000e+02 5.5700000000e+02 1.5800000191e+01
1.3800000431e-07 2.2100000000e+02 5.6600000000e+02 1.5800000191e+01
1.4799999803e-07 2.3900000000e+02 5.6500000000e+02 1.6200000763e+01
1.5800000597e-07 2.5400000000e+02 5.6800000000e+02 1.6299999237e+01
1.6699999605e-07 2.7200000000e+02 5.6800000000e+02 1.6399999619e+01
1.7700000399e-07 2.8400000000e+02 5.6400000000e+02 1.6500000000e+01
1.8599999407e-07 2.9700000000e+02 5.6200000000e+02 1.6700000763e+01
1.9600000201e-07 3.0700000000e+02 5.6300000000e+02 1.6899999619e+01
2.0599999573e-07 3.2600000000e+02 5.6600000000e+02 1.7200000763e+01
2.1500000003e-07 3.3800000000e+02 5.6700000000e+02 1.7200000763e+01
2.2499999375e-07 3.5100000000e+02 5.7400000000e+02 1.7200000763e+01
2.3399999804e-07 3.6200000000e+02 5.7700000000e+02 1.7299999237e+01
2.4400000598e-07 3.7300000000e+02 5.7800000000e+02 1.7399999619e+01
2.5400001391e-07 3.8300000000e+02 5.8000000000e+02 1.7500000000e+01
2.6300000400e-07 3.9000000000e+02 5.8100000000e+02 1.7500000000e+01
2.7300001193e-07 3.9800000000e+02 5.8000000000e+02 1.7500000000e+01
2.8200000202e-07 4.0400000000e+02 5.7700000000e+02 1.7500000000e+01
2.9200000995e-07 4.1100000000e+02 5.8000000000e+02 1.7500000000e+01
3.0199998946e-07 4.2100000000e+02 5.8000000000e+02 1.7600000381e+01
3.1100000797e-07 4.2800000000e+02 5.8200000000e+02 1.7700000763e+01
3.2099998748e-07 4.3900000000e+02 5.8300000000e+02 1.7700000763e+01
3.3000000599e-07 4.4700000000e+02 5.8400000000e+02 1.7799999237e+01
3.4000001392e-07 4.4900000000e+02 5.8500000000e+02 1.7600000381e+01
3.4999999343e-07 4.5700000000e+02 5.8800000000e+02 1.7700000763e+01
3.5900001194e-07 4.6400000000e+02 5.8700000000e+02 1.7799999237e+01
3.6899999145e-07 4.7000000000e+02 5.8600000000e+02 1.7700000763e+01
3.7800000996e-07 4.7600000000e+02 5.8500000000e+02 1.7700000763e+01
3.8799998947e-07 4.7700000000e+02 5.8800000000e+02 1.7700000763e+01
3.9799999740e-07 4.8300000000e+02 5.8900000000e+02 1.7700000763e+01
4.0699998749e-07 4.8700000000e+02 5.8700000000e+02 1.7899999619e+01
4.1699999542e-07 4.9300000000e+02 5.9100000000e+02 1.7799999237e+01
4.2600001393e-07 4.9600000000e+02 5.8800000000e+02 1.7799999237e+01
4.3599999344e-07 5.0100000000e+02 5.9400000000e+02 1.7899999619e+01
4.4600000138e-07 5.0800000000e+02 5.9100000000e+02 1.7600000381e+01
4.5499999146e-07 5.0900000000e+02 5.9300000000e+02 1.7799999237e+01
4.6499999939e-07 5.0800000000e+02 5.9100000000e+02 1.7899999619e+01
4.7399998948e-07 5.1400000000e+02 5.9300000000e+02 1.7799999237e+01
4.8399999741e-07 5.1600000000e+02 5.9200000000e+02 1.7799999237e+01
4.9400000535e-07 5.1500000000e+02 5.9100000000e+02 1.7799999237e+01
5.0300002385e-07 5.1900000000e+02 5.9400000000e+02 1.7799999237e+01
5.1299997494e-07 5.2200000000e+02 5.9300000000e+02 1.7799999237e+01
5.2199999345e-07 5.2800000000e+02 5.9500000000e+02 1.7700000763e+01
5.3200000139e-07 5.2800000000e+02 5.9700000000e+02 1.7799999237e+01
5.4200000932e-07 5.2900000000e+02 5.9500000000e+02 1.7799999237e+01
5.5100002783e-07 5.2900000000e+02 5.9900000000e+02 1.7700000763e+01
5.6099997892e-07 5.3400000000e+02 5.9700000000e+02 1.7899999619e+01
5.6999999742e-07 5.3400000000e+02 5.9800000000e+02 1.7799999237e+01
5.8000000536e-07 5.3400000000e+02 5.9800000000e+02 1.7799999237e+01
5.9000001329e-07 5.3900000000e+02 5.9700000000e+02 1.7799999237e+01
5.9899997495e-07 5.3700000000e+02 5.9800000000e+02 1.8000000000e+01
6.0899998289e-07 5.3800000000e+02 5.9900000000e+02 1.7799999237e+01
6.1800000140e-07 5.3700000000e+02 5.9900000000e+02 1.7799999237e+01
6.2800000933e-07 5.3900000000e+02 6.0300000000e+02 1.7899999619e+01
6.3800001726e-07 5.3800000000e+02 6.0200000000e+02 1.7899999619e+01
6.4699997893e-07 5.3700000000e+02 6.0100000000e+02 1.7799999237e+01
6.5699998686e-07 5.3900000000e+02 5.9800000000e+02 1.7899999619e+01
6.6600000537e-07 5.3900000000e+02 6.0000000000e+02 1.7899999619e+01
6.7600001330e-07 5.4100000000e+02 5.9800000000e+02 1.7899999619e+01
6.8600002123e-07 5.4000000000e+02 6.0100000000e+02 1.7799999237e+01
6.9499998290e-07 5.3900000000e+02 6.0000000000e+02 1.8100000381e+01
7.0499999083e-07 5.3800000000e+02 6.0000000000e+02 1.7899999619e+01
7.1400000934e-07 5.3500000000e+02 6.0200000000e+02 1.7799999237e+01
7.2400001727e-07 5.3500000000e+02 6.0200000000e+02 1.7799999237e+01
7.3400002520e-07 5.3500000000e+02 6.0300000000e+02 1.7799999237e+01
7.4299998687e-07 5.3700000000e+02 6.0400000000e+02 1.7899999619e+01
7.5299999480e-07 5.3600000000e+02 6.0200000000e+02 1.8000000000e+01
7.6200001331e-07 5.3500000000e+02 6.0000000000e+02 1.7899999619e+01
7.7200002124e-07 5.3300000000e+02 6.0400000000e+02 1.7899999619e+01
7.8199997233e-07 5.3300000000e+02 6.0200000000e+02 1.7899999619e+01
7.9099999084e-07 5.3100000000e+02 6.0400000000e+02 1.7899999619e+01
8.0099999877e-07 5.3100000000e+02 6.0100000000e+02 1.7899999619e+01
8.1000001728e-07 5.2800000000e+02 6.0300000000e+02 1.7899999619e+01
8.2000002521e-07 5.3100000000e+02 6.0200000000e+02 1.7799999237e+01
8.2999997630e-07 5.2900000000e+02 6.0000000000e+02 1.7899999619e+01
8.3899999481e-07 5.2500000000e+02 6.0400000000e+02 1.7799999237e+01
8.4900000275e-07 5.2400000000e+02 6.0400000000e+02 1.7899999619e+01
8.5800002125e-07 5.2300000000e+02 6.0300000000e+02 1.7899999619e+01
8.6799997234e-07 5.2200000000e+02 6.0200000000e+02 1.7899999619e+01
8.7799998028e-07 5.2100000000e+02 6.0400000000e+02 1.7899999619e+01
8.8699999878e-07 5.1800000000e+02 6.0400000000e+02 1.7799999237e+01
8.9700000672e-07 5.1800000000e+02 6.0300000000e+02 1.8000000000e+01
9.0600002522e-07 5.1600000000e+02 6.0200000000e+02 1.8000000000e+01
9.1599997631e-07 5.1400000000e+02 6.0200000000e+02 1.7899999619e+01
9.2599998425e-07 5.1000000000e+02 6.0500000000e+02 1.7899999619e+01
9.3500000276e-07 5.1100000000e+02 6.0600000000e+02 1.7899999619e+01
9.4500001069e-07 5.0700000000e+02 6.0500000000e+02 1.7899999619e+01
9.5400002920e-07 5.0600000000e+02 6.0600000000e+02 1.7799999237e+01
9.6400003713e-07 5.0500000000e+02 6.0200000000e+02 1.7799999237e+01
9.7400004506e-07 5.0600000000e+02 6.0300000000e+02 1.8000000000e+01
9.8299994988e-07 5.0400000000e+02 6.0200000000e+02 1.7899999619e+01
9.9299995782e-07 5.0300000000e+02 6.0300000000e+02 1.7899999619e+01
9.9999999748e-07 5.0200000000e+02 6.0800000000e+02 1.8100000381e+01
1.0100000054e-06 4.9700000000e+02 6.0500000000e+02 1.7899999619e+01
1.0200000133e-06 4.9500000000e+02 6.0600000000e+02 1.8000000000e+01
1.0300000213e-06 4.9400000000e+02 6.0600000000e+02 1.8000000000e+01
1.0400000292e-06 4.9500000000e+02 6.0600000000e+02 1.7899999619e+01
1.0500000371e-06 4.9200000000e+02 6.0300000000e+02 1.7899999619e+01
1.0600000451e-06 4.9100000000e+02 6.0100000000e+02 1.8100000381e+01
1.0700000530e-06 4.8900000000e+02 6.0200000000e+02 1.8000000000e+01
1.0799999473e-06 4.9000000000e+02 6.0600000000e+02 1.8000000000e+01
1.0899999552e-06 4.8600000000e+02 6.0400000000e+02 1.8000000000e+01
1.0999999631e-06 4.8200000000e+02 6.0400000000e+02 1.8000000000e+01
1.1099999710e-06 4.8300000000e+02 6.0700000000e+02 1.7899999619e+01
1.1199999790e-06 4.8000000000e+02 6.0500000000e+02 1.8000000000e+01
1.1299999869e-06 4.8100000000e+02 6.0400000000e+02 1.8000000000e+01
1.1399999948e-06 4.7700000000e+02 5.9900000000e+02 1.8000000000e+01
1.1500000028e-06 4.7700000000e+02 6.0800000000e+02 1.8100000381e+01
1.1600000107e-06 4.7500000000e+02 6.0500000000e+02 1.8000000000e+01
1.1700000186e-06 4.7500000000e+02 6.0400000000e+02 1.8100000381e+01
1.1800000266e-06 4.7300000000e+02 6.0300000000e+02 1.7899999619e+01
1.1800000266e-06 4.7000000000e+02 6.0200000000e+02 1.7899999619e+01
1.1900000345e-06 4.6700000000e+02 6.0500000000e+02 1.8100000381e+01
1.2000000424e-06 4.6800000000e+02 6.0300000000e+02 1.8000000000e+01
1.2100000504e-06 4.6700000000e+02 6.0400000000e+02 1.8100000381e+01
1.2199999446e-06 4.6300000000e+02 6.0500000000e+02 1.8000000000e+01
1.2299999526e-06 4.6300000000e+02 6.0300000000e+02 1.8100000381e+01
1.2399999605e-06 4.6300000000e+02 6.0400000000e+02 1.8100000381e+01
