# epoch total_loss data_loss physics_loss w_data w_physics lr
1.0000000000e+00 1.8758275509e+00 1.0452251434e+00 2.6375803947e+00 4.7838121996e-01 5.2161877977e-01 1.0000000000e-03
2.0000000000e+00 1.3198052645e+00 1.0653735399e+00 1.5466415882e+00 4.7133051625e-01 5.2866948313e-01 1.0000000000e-03
3.0000000000e+00 9.9245297909e-01 1.1581728458e+00 8.3811819553e-01 4.8221369653e-01 5.1778630241e-01 1.0000000000e-03
4.0000000000e+00 8.5945016146e-01 1.1850591898e+00 5.2978050709e-01 5.0309844712e-01 4.9690155134e-01 1.0000000000e-03
5.0000000000e+00 8.0672621727e-01 1.1000328064e+00 4.8624700308e-01 5.2213530863e-01 4.7786468935e-01 1.0000000000e-03
6.0000000000e+00 7.3709267378e-01 9.4629859924e-01 4.9587216973e-01 5.3553804271e-01 4.6446195478e-01 1.0000000000e-03
7.0000000000e+00 6.1281722784e-01 7.6410073042e-01 4.3093287945e-01 5.4592392329e-01 4.5407607361e-01 1.0000000000e-03
8.0000000000e+00 4.6639084816e-01 5.8822673559e-01 3.1347069144e-01 5.5656702032e-01 4.4343297578e-01 1.0000000000e-03
9.0000000000e+00 3.6025753617e-01 4.4884458184e-01 2.4491113424e-01 5.6560810239e-01 4.3439189266e-01 1.0000000000e-03
1.0000000000e+01 3.3011221886e-01 3.7149864435e-01 2.7604636550e-01 5.6641761127e-01 4.3358238273e-01 1.0000000000e-03
1.1000000000e+01 3.2242584229e-01 3.5190382600e-01 2.8412210941e-01 5.6510438329e-01 4.3489560974e-01 1.0000000000e-03
1.2000000000e+01 2.9466548562e-01 3.4872171283e-01 2.2313375771e-01 5.6957468654e-01 4.3042530543e-01 1.0000000000e-03
1.3000000000e+01 2.5380170345e-01 3.3438083529e-01 1.4117768407e-01 5.8293050525e-01 4.1706948543e-01 1.0000000000e-03
1.4000000000e+01 2.3554113507e-01 3.0297261477e-01 1.3709595799e-01 5.9348413604e-01 4.0651585330e-01 1.0000000000e-03
1.5000000000e+01 2.3702314496e-01 2.6999160647e-01 1.8899616599e-01 5.9295898894e-01 4.0704099929e-01 1.0000000000e-03
1.6000000000e+01 2.0839534700e-01 2.4571596086e-01 1.5351854265e-01 5.9520986332e-01 4.0479012358e-01 1.0000000000e-03
1.7000000000e+01 1.7129145563e-01 2.2554555535e-01 8.7211355567e-02 6.0780416533e-01 3.9219581968e-01 1.0000000000e-03
1.8000000000e+01 1.5372964740e-01 2.0444762707e-01 7.0491060615e-02 6.2138491687e-01 3.7861506600e-01 1.0000000000e-03
1.9000000000e+01 1.4941614866e-01 1.8405805528e-01 9.1417506337e-02 6.2606108109e-01 3.7393889987e-01 1.0000000000e-03
2.0000000000e+01 1.4898115396e-01 1.7423696816e-01 1.0680695623e-01 6.2545131833e-01 3.7454866097e-01 1.0000000000e-03
2.1000000000e+01 1.5492001176e-01 1.8271313608e-01 1.0846843570e-01 6.2565505096e-01 3.7434492698e-01 1.0000000000e-03
2.2000000000e+01 1.6473916173e-01 1.9829885662e-01 1.0813268274e-01 6.2780183056e-01 3.7219814632e-01 1.0000000000e-03
2.3000000000e+01 1.6559831798e-01 1.9877660275e-01 1.0921162367e-01 6.2956197055e-01 3.7043800539e-01 1.0000000000e-03
2.4000000000e+01 1.5507553518e-01 1.8062236905e-01 1.1188228428e-01 6.2835602629e-01 3.7164394864e-01 1.0000000000e-03
2.5000000000e+01 1.4222732186e-01 1.5851213038e-01 1.1526842415e-01 6.2341793390e-01 3.7658203988e-01 1.0000000000e-03
2.6000000000e+01 1.3103851676e-01 1.4409245551e-01 1.0993781686e-01 6.1779869113e-01 3.8220128134e-01 1.0000000000e-03
2.7000000000e+01 1.1875551939e-01 1.3670706749e-01 8.9916571975e-02 6.1634221184e-01 3.8365775897e-01 1.0000000000e-03
2.8000000000e+01 1.0784456134e-01 1.3156020641e-01 6.9106318057e-02 6.2026959850e-01 3.7973037024e-01 1.0000000000e-03
2.9000000000e+01 1.0371783376e-01 1.2704664469e-01 6.4932562411e-02 6.2441992941e-01 3.7558003725e-01 1.0000000000e-03
3.0000000000e+01 1.0405023396e-01 1.2376091629e-01 7.1131721139e-02 6.2548003258e-01 3.7451993228e-01 1.0000000000e-03
3.1000000000e+01 1.0226320475e-01 1.2274178863e-01 6.7787341774e-02 6.2735356000e-01 3.7264640313e-01 1.0000000000e-03
3.2000000000e+01 9.8308801651e-02 1.2409067899e-01 5.3557816893e-02 6.3447000397e-01 3.6552995721e-01 1.0000000000e-03
3.3000000000e+01 9.5776431262e-02 1.2510785460e-01 4.2308870703e-02 6.4575140774e-01 3.5424855135e-01 1.0000000000e-03
3.4000000000e+01 9.3638159335e-02 1.2222026289e-01 3.8880303502e-02 6.5704208050e-01 3.4295787647e-01 1.0000000000e-03
3.5000000000e+01 9.0007796884e-02 1.1579115689e-01 3.8507204503e-02 6.6638154002e-01 3.3361841478e-01 1.0000000000e-03
3.6000000000e+01 8.6479783058e-02 1.0982547700e-01 3.8230072707e-02 6.7392194251e-01 3.2607801005e-01 1.0000000000e-03
3.7000000000e+01 8.4863573313e-02 1.0686061531e-01 3.8062732667e-02 6.8026569863e-01 3.1973425178e-01 1.0000000000e-03
3.8000000000e+01 8.4046185017e-02 1.0533151031e-01 3.7553127855e-02 6.8595699256e-01 3.1404295581e-01 1.0000000000e-03
3.9000000000e+01 8.1981614232e-02 1.0222300887e-01 3.6732431501e-02 6.9092660405e-01 3.0907334228e-01 1.0000000000e-03
4.0000000000e+01 7.8565850854e-02 9.6686914563e-02 3.7488233298e-02 6.9389416411e-01 3.0610578014e-01 1.0000000000e-03
4.1000000000e+01 7.4933409691e-02 9.0141952038e-02 4.0523264557e-02 6.9349169579e-01 3.0650824639e-01 1.0000000000e-03
4.2000000000e+01 7.1395561099e-02 8.4149479866e-02 4.2962148786e-02 6.9034376534e-01 3.0965617475e-01 1.0000000000e-03
4.3000000000e+01 6.7675739527e-02 7.9375550151e-02 4.2033161968e-02 6.8668817607e-01 3.1331176178e-01 1.0000000000e-03
4.4000000000e+01 6.4337939024e-02 7.5768731534e-02 3.9632380009e-02 6.8367620002e-01 3.1632373537e-01 1.0000000000e-03
4.5000000000e+01 6.2164254487e-02 7.2717204690e-02 3.9742402732e-02 6.7996930567e-01 3.2003062729e-01 1.0000000000e-03
4.6000000000e+01 6.0908500105e-02 6.9806501269e-02 4.2501237243e-02 6.7412881773e-01 3.2587111303e-01 1.0000000000e-03
4.7000000000e+01 6.0006648302e-02 6.7690320313e-02 4.4617045671e-02 6.6698830874e-01 3.3301162004e-01 1.0000000000e-03
4.8000000000e+01 5.9261545539e-02 6.6825538874e-02 4.4559881091e-02 6.6028434335e-01 3.3971558358e-01 1.0000000000e-03
4.9000000000e+01 5.8161132038e-02 6.5869592130e-02 4.3561901897e-02 6.5444844014e-01 3.4555148495e-01 1.0000000000e-03
5.0000000000e+01 5.6332793087e-02 6.3570775092e-02 4.2968999594e-02 6.4867217466e-01 3.5132774854e-01 1.0000000000e-03
5.1000000000e+01 5.4366573691e-02 6.0684550554e-02 4.3020725250e-02 6.4232130965e-01 3.5767861159e-01 1.0000000000e-03
5.2000000000e+01 5.2522391081e-02 5.8217756450e-02 4.2577717453e-02 6.3584747717e-01 3.6415244203e-01 1.0000000000e-03
5.3000000000e+01 5.0533808768e-02 5.6360390037e-02 4.0596172214e-02 6.3039224943e-01 3.6960766753e-01 1.0000000000e-03
5.4000000000e+01 4.8975527287e-02 5.5425662547e-02 3.8152430207e-02 6.2658233232e-01 3.7341758226e-01 1.0000000000e-03
5.5000000000e+01 4.8209480941e-02 5.5243499577e-02 3.6530062556e-02 6.2411953258e-01 3.7588037964e-01 1.0000000000e-03
5.6000000000e+01 4.7410894185e-02 5.4886337370e-02 3.5072281957e-02 6.2272044466e-01 3.7727946522e-01 1.0000000000e-03
5.7000000000e+01 4.6426992863e-02 5.4395876825e-02 3.3287078142e-02 6.2248539546e-01 3.7751451203e-01 1.0000000000e-03
5.8000000000e+01 4.5870903879e-02 5.4379791021e-02 3.1789124012e-02 6.2334521081e-01 3.7665469433e-01 1.0000000000e-03
5.9000000000e+01 4.5389026403e-02 5.4345935583e-02 3.0454633757e-02 6.2509744009e-01 3.7490246274e-01 1.0000000000e-03
6.0000000000e+01 4.4591702521e-02 5.3867258132e-02 2.8958091512e-02 6.2762485180e-01 3.7237504867e-01 1.0000000000e-03
6.1000000000e+01 4.4022720307e-02 5.3452882916e-02 2.7928411961e-02 6.3054438413e-01 3.6945551401e-01 1.0000000000e-03
6.2000000000e+01 4.3659202754e-02 5.2926212549e-02 2.7664285153e-02 6.3316295617e-01 3.6683693975e-01 1.0000000000e-03
6.3000000000e+01 4.2933233082e-02 5.1585502923e-02 2.7896985412e-02 6.3474837351e-01 3.6525152023e-01 1.0000000000e-03
6.4000000000e+01 4.2066030204e-02 4.9761146307e-02 2.8696063906e-02 6.3469809565e-01 3.6530179597e-01 1.0000000000e-03
6.5000000000e+01 4.1289795190e-02 4.7956857830e-02 2.9795054346e-02 6.3290760730e-01 3.6709228230e-01 1.0000000000e-03
6.6000000000e+01 4.0347602218e-02 4.6003025025e-02 3.0736092478e-02 6.2956413360e-01 3.7043575401e-01 1.0000000000e-03
6.7000000000e+01 3.9422295988e-02 4.3958410621e-02 3.1875841320e-02 6.2457414530e-01 3.7542574036e-01 1.0000000000e-03
6.8000000000e+01 3.8768619299e-02 4.2075142264e-02 3.3422805369e-02 6.1784690359e-01 3.8215298026e-01 1.0000000000e-03
6.9000000000e+01 3.8201950490e-02 4.0345601737e-02 3.4853093326e-02 6.0971420325e-01 3.9028567891e-01 1.0000000000e-03
7.0000000000e+01 3.7659417838e-02 3.8876257837e-02 3.5828199238e-02 6.0078285410e-01 3.9921702646e-01 1.0000000000e-03
7.1000000000e+01 3.7132441998e-02 3.7766322494e-02 3.6213640124e-02 5.9175395565e-01 4.0824592334e-01 1.0000000000e-03
7.2000000000e+01 3.6500163376e-02 3.6976613104e-02 3.5833064467e-02 5.8336385300e-01 4.1663602435e-01 1.0000000000e-03
7.3000000000e+01 3.5757988691e-02 3.6591954529e-02 3.4623164684e-02 5.7640974410e-01 4.2359013148e-01 1.0000000000e-03
7.4000000000e+01 3.4957766533e-02 3.6603111774e-02 3.2763008028e-02 5.7153675873e-01 4.2846311487e-01 1.0000000000e-03
7.5000000000e+01 3.4219287336e-02 3.6843448877e-02 3.0756527558e-02 5.6888523711e-01 4.3111463434e-01 1.0000000000e-03
7.6000000000e+01 3.3591069281e-02 3.7255279720e-02 2.8764935210e-02 5.6842681457e-01 4.3157305459e-01 1.0000000000e-03
7.7000000000e+01 3.3043593168e-02 3.7876054645e-02 2.6629900560e-02 5.7030126807e-01 4.2969859868e-01 1.0000000000e-03
7.8000000000e+01 3.2659295946e-02 3.8585096598e-02 2.4665812030e-02 5.7427436056e-01 4.2572550370e-01 1.0000000000e-03
7.9000000000e+01 3.2354503870e-02 3.9000898600e-02 2.3192882538e-02 5.7955559346e-01 4.2044426829e-01 1.0000000000e-03
8.0000000000e+01 3.2020676881e-02 3.8926687092e-02 2.2277636454e-02 5.8520122841e-01 4.1479863083e-01 1.0000000000e-03
8.1000000000e+01 3.1721509993e-02 3.8512069732e-02 2.1933784708e-02 5.9039443002e-01 4.0960542675e-01 1.0000000000e-03
8.2000000000e+01 3.1377136707e-02 3.7795908749e-02 2.1962625906e-02 5.9460269321e-01 4.0539716115e-01 1.0000000000e-03
8.3000000000e+01 3.0943125486e-02 3.6720901728e-02 2.2373983636e-02 5.9728129647e-01 4.0271855554e-01 1.0000000000e-03
8.4000000000e+01 3.0508430675e-02 3.5366073251e-02 2.3286890239e-02 5.9785031997e-01 4.0214952978e-01 1.0000000000e-03
8.5000000000e+01 3.0049834400e-02 3.3864364028e-02 2.4418529123e-02 5.9616871487e-01 4.0383113275e-01 1.0000000000e-03
8.6000000000e+01 2.9594151303e-02 3.2382413745e-02 2.5540772825e-02 5.9245762149e-01 4.0754222411e-01 1.0000000000e-03
8.7000000000e+01 2.9218640178e-02 3.1068861485e-02 2.6587856933e-02 5.8709778443e-01 4.1290205926e-01 1.0000000000e-03
8.8000000000e+01 2.8894416988e-02 3.0005261302e-02 2.7356004342e-02 5.8069727032e-01 4.1930257157e-01 1.0000000000e-03
8.9000000000e+01 2.8604157269e-02 2.9245465994e-02 2.7740240097e-02 5.7394823907e-01 4.2605160108e-01 1.0000000000e-03
9.0000000000e+01 2.8326883912e-02 2.8768494725e-02 2.7747539803e-02 5.6745664975e-01 4.3254318869e-01 1.0000000000e-03
9.1000000000e+01 2.8020430356e-02 2.8548510745e-02 2.7343437076e-02 5.6178901435e-01 4.3821082236e-01 1.0000000000e-03
9.2000000000e+01 2.7677848935e-02 2.8633262962e-02 2.6473803446e-02 5.5756943434e-01 4.4243040054e-01 1.0000000000e-03
9.3000000000e+01 2.7322411537e-02 2.9024951160e-02 2.5196073577e-02 5.5534328629e-01 4.4465654666e-01 1.0000000000e-03
9.4000000000e+01 2.6999611408e-02 2.9549781233e-02 2.3816749454e-02 5.5518032117e-01 4.4481950975e-01 1.0000000000e-03
9.5000000000e+01 2.6722960174e-02 2.9970768839e-02 2.2645615041e-02 5.5662318399e-01 4.4337664483e-01 1.0000000000e-03
9.6000000000e+01 2.6510566473e-02 3.0234413221e-02 2.1788833663e-02 5.5907797519e-01 4.4092185153e-01 1.0000000000e-03
9.7000000000e+01 2.6343394071e-02 3.0358470976e-02 2.1190321073e-02 5.6206285756e-01 4.3793696709e-01 1.0000000000e-03
9.8000000000e+01 2.6174094528e-02 3.0280090868e-02 2.0839057863e-02 5.6509090120e-01 4.3490892142e-01 1.0000000000e-03
9.9000000000e+01 2.5995120406e-02 2.9907597229e-02 2.0861616358e-02 5.6749072305e-01 4.3250909761e-01 1.0000000000e-03
1.0000000000e+02 2.5779813528e-02 2.9173828661e-02 2.1307617426e-02 5.6853282977e-01 4.3146698902e-01 1.0000000000e-03
1.0100000000e+02 2.5543186814e-02 2.8176957741e-02 2.2083926946e-02 5.6774093988e-01 4.3225887713e-01 1.0000000000e-03
1.0200000000e+02 2.5316519663e-02 2.7130281553e-02 2.2959474474e-02 5.6513016847e-01 4.3486964687e-01 1.0000000000e-03
1.0300000000e+02 2.5104934350e-02 2.6195993647e-02 2.3710064590e-02 5.6110774961e-01 4.3889206417e-01 1.0000000000e-03
1.0400000000e+02 2.4921629578e-02 2.5430142879e-02 2.4284472689e-02 5.5614921121e-01 4.4385060107e-01 1.0000000000e-03
1.0500000000e+02 2.4751503021e-02 2.4821745232e-02 2.4665424600e-02 5.5069222052e-01 4.4930759032e-01 1.0000000000e-03
1.0600000000e+02 2.4580921978e-02 2.4437272921e-02 2.4753205478e-02 5.4530185655e-01 4.5469795288e-01 1.0000000000e-03
1.0700000000e+02 2.4405753240e-02 2.4376796558e-02 2.4439854547e-02 5.4070707411e-01 4.5929273390e-01 1.0000000000e-03
1.0800000000e+02 2.4230120704e-02 2.4621747434e-02 2.3774977773e-02 5.3751117742e-01 4.6248862912e-01 1.0000000000e-03
1.0900000000e+02 2.4062279612e-02 2.5040715933e-02 2.2932222113e-02 5.3595763551e-01 4.6404216953e-01 1.0000000000e-03
1.1000000000e+02 2.3911327124e-02 2.5498760864e-02 2.2077891976e-02 5.3595697372e-01 4.6404282980e-01 1.0000000000e-03
1.1100000000e+02 2.3774990812e-02 2.5898484513e-02 2.1309923381e-02 5.3722116293e-01 4.6277863906e-01 1.0000000000e-03
1.1200000000e+02 2.3643946275e-02 2.6153011248e-02 2.0706698298e-02 5.3931033083e-01 4.6068946962e-01 1.0000000000e-03
1.1300000000e+02 2.3514825851e-02 2.6186611503e-02 2.0357595757e-02 5.4164109147e-01 4.5835870745e-01 1.0000000000e-03
1.1400000000e+02 2.3379787803e-02 2.5964992121e-02 2.0300678909e-02 5.4359847787e-01 4.5640131954e-01 1.0000000000e-03
1.1500000000e+02 2.3247484118e-02 2.5531841442e-02 2.0514737815e-02 5.4468647509e-01 4.5531332086e-01 1.0000000000e-03
1.1600000000e+02 2.3120347410e-02 2.4971155450e-02 2.0906604826e-02 5.4464757711e-01 4.5535221745e-01 1.0000000000e-03
1.1700000000e+02 2.2999541834e-02 2.4364536628e-02 2.1374734119e-02 5.4345111796e-01 4.5654867528e-01 1.0000000000e-03
1.1800000000e+02 2.2880231962e-02 2.3787010461e-02 2.1810289472e-02 5.4127358029e-01 4.5872621169e-01 1.0000000000e-03
1.1900000000e+02 2.2753234953e-02 2.3333175108e-02 2.2076459602e-02 5.3852996521e-01 4.6146982556e-01 1.0000000000e-03
1.2000000000e+02 2.2618351504e-02 2.3088401183e-02 2.2075815126e-02 5.3579796216e-01 4.6420182739e-01 1.0000000000e-03
1.2100000000e+02 2.2481746972e-02 2.3053323850e-02 2.1827872843e-02 5.3358337100e-01 4.6641641731e-01 1.0000000000e-03
1.2200000000e+02 2.2354610264e-02 2.3156609386e-02 2.1442409605e-02 5.3214681316e-01 4.6785297390e-01 1.0000000000e-03
1.2300000000e+02 2.2243864834e-02 2.3339293897e-02 2.1000798792e-02 5.3156911842e-01 4.6843066738e-01 1.0000000000e-03
1.2400000000e+02 2.2145796567e-02 2.3558283225e-02 2.0541233942e-02 5.3183292271e-01 4.6816686183e-01 1.0000000000e-03
1.2500000000e+02 2.2048681974e-02 2.3722432554e-02 2.0140442997e-02 5.3273278583e-01 4.6726699746e-01 1.0000000000e-03
