# time_s Ids_A Vds_V Vgs_V
5.5194998794e-08 1.0062500000e+01 5.9238281250e+02 6.6968750954e+00
7.0554996512e-08 1.1828125000e+01 5.9053125000e+02 7.3093748093e+00
8.0154997306e-08 1.4031250000e+01 5.9182031250e+02 7.4632811546e+00
8.9754998100e-08 1.8078125000e+01 5.9149218750e+02 7.7109375000e+00
9.9354998895e-08 1.9093750000e+01 5.9264062500e+02 7.9226560593e+00
1.0895499969e-07 1.9796875000e+01 5.9238281250e+02 8.0132808685e+00
1.1855500048e-07 2.5718750000e+01 5.9407031250e+02 8.2281246185e+00
1.2815499417e-07 2.4796875000e+01 5.9392968750e+02 8.1054687500e+00
1.3775499497e-07 2.7453125000e+01 5.9414062500e+02 8.4078121185e+00
1.4735499576e-07 2.7109375000e+01 5.9411718750e+02 8.4515628815e+00
1.5695499656e-07 3.0453125000e+01 5.9498437500e+02 8.4968748093e+00
1.6655499735e-07 2.8984375000e+01 5.9367187500e+02 8.6015625000e+00
1.7615499814e-07 3.0187500000e+01 5.9596875000e+02 8.7421875000e+00
1.8575499894e-07 3.2375000000e+01 5.9542968750e+02 8.7164058685e+00
1.9535499973e-07 3.3328125000e+01 5.9566406250e+02 8.7828121185e+00
2.0495500053e-07 3.3453125000e+01 5.9678906250e+02 8.8414058685e+00
2.1455500132e-07 3.5859375000e+01 5.9838281250e+02 8.8859376907e+00
2.2415500212e-07 3.7500000000e+01 5.9721093750e+02 8.9101562500e+00
2.3375500291e-07 3.6781250000e+01 5.9798437500e+02 8.8039064407e+00
2.4335500370e-07 3.7796875000e+01 5.9812500000e+02 8.8960933685e+00
2.5295500450e-07 3.9343750000e+01 5.9690625000e+02 8.9328126907e+00
2.6255500529e-07 3.8390625000e+01 5.9714062500e+02 8.9359378815e+00
2.7215500609e-07 3.9296875000e+01 5.9625000000e+02 8.9328126907e+00
2.8175500688e-07 4.0625000000e+01 5.9704687500e+02 9.0007810593e+00
2.9135500768e-07 4.0890625000e+01 5.9753906250e+02 8.8882808685e+00
3.0095500847e-07 4.0796875000e+01 5.9599218750e+02 8.8703126907e+00
3.1055500926e-07 4.2515625000e+01 5.9571093750e+02 9.0593748093e+00
3.2015501006e-07 4.1953125000e+01 5.9573437500e+02 8.9812498093e+00
3.2975501085e-07 4.3125000000e+01 5.9594531250e+02 9.1359376907e+00
3.3935501165e-07 4.4453125000e+01 5.9660156250e+02 9.0984373093e+00
3.4895501244e-07 4.3437500000e+01 5.9610937500e+02 9.0757808685e+00
3.5855501324e-07 4.2375000000e+01 5.9646093750e+02 9.0507812500e+00
3.6815501403e-07 4.4234375000e+01 5.9592187500e+02 9.1335935593e+00
3.7775498640e-07 4.4375000000e+01 5.9817187500e+02 9.1031246185e+00
3.8735498720e-07 4.3343750000e+01 5.9789062500e+02 9.0773439407e+00
3.9695498799e-07 4.5125000000e+01 5.9566406250e+02 9.1031246185e+00
4.0655498879e-07 4.4218750000e+01 5.9711718750e+02 9.0929689407e+00
4.1615498958e-07 4.6062500000e+01 5.9852343750e+02 9.0304689407e+00
4.2575499037e-07 4.5781250000e+01 5.9681250000e+02 9.0976562500e+00
4.3535499117e-07 4.3625000000e+01 5.9725781250e+02 8.9296875000e+00
4.4495499196e-07 4.6093750000e+01 5.9721093750e+02 9.1351566315e+00
