# epoch total_loss data_loss physics_loss w_data w_physics lr
1.0000000000e+00 1.3580430746e+00 9.6739077568e-01 1.7272675037e+00 4.8590031358e-01 5.1409968605e-01 1.0000000000e-03
2.0000000000e+00 9.6419560909e-01 8.9227777719e-01 1.0315697193e+00 4.8369014206e-01 5.1630985708e-01 1.0000000000e-03
3.0000000000e+00 7.7830851078e-01 8.5493671894e-01 7.0464432240e-01 4.9013948553e-01 5.0986051306e-01 1.0000000000e-03
4.0000000000e+00 7.5455158949e-01 8.1850332022e-01 6.9178575277e-01 4.9532067945e-01 5.0467931862e-01 1.0000000000e-03
5.0000000000e+00 6.9386041164e-01 7.7580749989e-01 6.1134862900e-01 5.0171652604e-01 4.9828347150e-01 1.0000000000e-03
6.0000000000e+00 5.9828996658e-01 7.3225855827e-01 4.5710578561e-01 5.1311209259e-01 4.8688790436e-01 1.0000000000e-03
7.0000000000e+00 5.3813028336e-01 6.9319516420e-01 3.6515533924e-01 5.2729857577e-01 4.7270142054e-01 1.0000000000e-03
8.0000000000e+00 5.1843410730e-01 6.6280585527e-01 3.4889787436e-01 5.4008254693e-01 4.5991744876e-01 1.0000000000e-03
9.0000000000e+00 4.8959815502e-01 6.3964128494e-01 3.0328974128e-01 5.5390971819e-01 4.4609027686e-01 1.0000000000e-03
1.0000000000e+01 4.4860389829e-01 6.2469309568e-01 2.1214385331e-01 5.7316806593e-01 4.2683192843e-01 1.0000000000e-03
1.1000000000e+01 4.2664605379e-01 6.2350177765e-01 1.3355505466e-01 5.9820990704e-01 4.0179008656e-01 1.0000000000e-03
1.2000000000e+01 4.3893060088e-01 6.3484710455e-01 1.1512123793e-01 6.2303876888e-01 3.7696122402e-01 1.0000000000e-03
1.3000000000e+01 4.6009922028e-01 6.4318412542e-01 1.2883268297e-01 6.4404708288e-01 3.5595290944e-01 1.0000000000e-03
1.4000000000e+01 4.6610647440e-01 6.4040088654e-01 1.2226770818e-01 6.6361080893e-01 3.3638918285e-01 1.0000000000e-03
