group,source,vds_max,vgs_max,time_max,checkpoint,param1,param2,param3,param4,param5,param6,param7,param8,param9,epi_thickness,T_initial,vds_coef_slope,vds_coef_intercept
400V__400v-10us_000_ALL_csv,400V\400v-10us_000_ALL.csv,432.375,18.6046875,1.08112e-05,checkpoints\400V__400v-10us_000_ALL_csv_Vds432.375_Vgs18.6046875_20260115_141159.pt,83.94845581054688,2.4983460903167725,4.7100725173950195,3.5388998985290527,-0.10149016231298447,7.200748443603516,2.5190365314483643,5.0,-0.5,9.999999747378752e-06,330.0643310546875,0.0,0.0
400V__400v-1_9us_000_ALL_csv,400V\400v-1.9us_000_ALL.csv,508.296875,18.4882812,1.89776e-06,checkpoints\400V__400v-1_9us_000_ALL_csv_Vds508.296875_Vgs18.4882812_20260115_143558.pt,78.80288696289062,2.0708835124969482,4.17233943939209,3.5388998985290527,-0.10149016231298447,9.257572174072266,2.8626160621643066,5.0,-0.5,9.999999747378752e-06,334.71527099609375,0.0,0.0
400V__400v-1us_000_ALL_csv,400V\400v-1us_000_ALL.csv,554.59375,17.9523438,9.6576e-07,checkpoints\400V__400v-1us_000_ALL_csv_Vds554.59375_Vgs17.9523438_20260115_144748.pt,76.54566955566406,1.0749378204345703,4.762006759643555,3.5388998985290527,-0.10149016231298447,10.134004592895508,1.5833109617233276,5.0,-0.5,9.999999747378752e-06,355.5144348144531,0.0,0.0
400V__400v-2_8us_000_ALL_csv,400V\400v-2.8us_000_ALL.csv,482.84375,18.5234375,2.81744e-06,checkpoints\400V__400v-2_8us_000_ALL_csv_Vds482.84375_Vgs18.5234375_20260115_152351.pt,80.8675765991211,2.440864324569702,4.37285852432251,3.5388998985290527,-0.10149016231298447,7.160232067108154,2.5880613327026367,5.0,-0.5,9.999999747378752e-06,333.04339599609375,0.0,0.0
400V__400v-3_7us_000_ALL_csv,400V\400v-3.7us_000_ALL.csv,467.84375,18.6625,3.72144e-06,checkpoints\400V__400v-3_7us_000_ALL_csv_Vds467.84375_Vgs18.6625_20260115_161248.pt,81.54168701171875,2.765134811401367,4.427094459533691,3.5388998985290527,-0.10149016231298447,5.315467834472656,2.300161361694336,5.0,-0.5,9.999999747378752e-06,333.03948974609375,0.0,0.0
400V__400v-4_6us_000_ALL_csv,400V\400v-4.6us_000_ALL.csv,457.984375,18.5585938,4.63192e-06,checkpoints\400V__400v-4_6us_000_ALL_csv_Vds457.984375_Vgs18.5585938_20260115_170944.pt,81.62332153320312,2.963550567626953,4.564807891845703,3.5388998985290527,-0.10149016231298447,4.464480876922607,2.0987892150878906,5.0,-0.5,9.999999747378752e-06,331.80224609375,0.0,0.0
400V__400v-5_5us_000_ALL_csv,400V\400v-5.5us_000_ALL.csv,452.609375,19.0117188,5.532e-06,checkpoints\400V__400v-5_5us_000_ALL_csv_Vds452.609375_Vgs19.0117188_20260115_181705.pt,82.6673355102539,2.941343307495117,4.644268989562988,3.5388998985290527,-0.10149016231298447,4.8127217292785645,2.1268794536590576,5.0,-0.5,9.999999747378752e-06,327.9211120605469,0.0,0.0
400V__400v-6_4us_000_ALL_csv,400V\400v-6.4us_000_ALL.csv,447.796875,18.5375,6.41776e-06,checkpoints\400V__400v-6_4us_000_ALL_csv_Vds447.796875_Vgs18.5375_20260115_193627.pt,82.83025360107422,2.9572670459747314,4.731802940368652,3.5388998985290527,-0.10150384157896042,4.804145336151123,2.122438669204712,5.0,-0.5,9.999999747378752e-06,328.3191223144531,0.0,0.0
400V__400v-7_3us_000_ALL_csv,400V\400v-7.3us_000_ALL.csv,441.703125,18.6171875,7.35184e-06,checkpoints\400V__400v-7_3us_000_ALL_csv_Vds441.703125_Vgs18.6171875_20260115_210820.pt,84.94180297851562,2.838069438934326,4.827622413635254,3.5388998985290527,-0.10149016231298447,5.631385803222656,2.2041425704956055,5.0,-0.5,9.999999747378752e-06,327.0409851074219,0.0,0.0
400V__400v-8_2us_000_ALL_csv,400V\400v-8.2us_000_ALL.csv,439.296875,18.6007813,8.2368e-06,checkpoints\400V__400v-8_2us_000_ALL_csv_Vds439.296875_Vgs18.6007813_20260115_225243.pt,84.58317565917969,2.749955177307129,4.72067928314209,3.5388998985290527,-0.10149016231298447,6.103300094604492,2.376676559448242,5.0,-0.5,9.999999747378752e-06,326.3481140136719,0.0,0.0
