case_name,vds_group_V,panel_title,model,branch,n_points,peak_ids_A,mae_A,rmse_A,nmae_pct,nrmse_pct
400V__400v-10us_000_ALL_csv,400,10 us,NN branch,NN branch,1080,536.71875,7.718724907778705,10.965424518798569,1.438132151667648,2.043048527519966
400V__400v-10us_000_ALL_csv,400,10 us,Physics branch,Physics branch,1080,536.71875,14.088415612758814,20.123832633995924,2.62491586380368,3.7494185984737674
400V__400v-1_9us_000_ALL_csv,400,1.9 us,NN branch,NN branch,194,526.40625,12.760647095358244,27.8702000061886,2.4241063048469207,5.294428021359663
400V__400v-1_9us_000_ALL_csv,400,1.9 us,Physics branch,Physics branch,194,526.40625,23.694740851085204,55.55198523232078,4.501227113296091,10.553063386371415
400V__400v-2_8us_000_ALL_csv,400,2.8 us,NN branch,NN branch,290,523.28125,9.111436672889655,18.671760672436793,1.7412121441174617,3.5682074739801575
400V__400v-2_8us_000_ALL_csv,400,2.8 us,Physics branch,Physics branch,290,523.28125,16.024043369262657,38.81026375741533,3.0622238746873993,7.416712094579221
400V__400v-3_7us_000_ALL_csv,400,3.7 us,NN branch,NN branch,384,522.53125,8.030884782526561,16.413681312092177,1.536919520607918,3.1411865437889457
400V__400v-3_7us_000_ALL_csv,400,3.7 us,Physics branch,Physics branch,384,522.53125,12.516650629003152,30.95760044410828,2.395387956031941,5.9245452676961
400V__400v-4_6us_000_ALL_csv,400,4.6 us,NN branch,NN branch,479,524.90625,7.353402792948225,14.58761927736831,1.4008983114505162,2.77909041421555
400V__400v-4_6us_000_ALL_csv,400,4.6 us,Physics branch,Physics branch,479,524.90625,11.196716513103278,27.06518110340162,2.1330888159749057,5.156193339934821
400V__400v-5_5us_000_ALL_csv,400,5.5 us,NN branch,NN branch,572,522.28125,6.267473981304022,12.475045639625135,1.2000189517245778,2.3885685422605416
400V__400v-5_5us_000_ALL_csv,400,5.5 us,Physics branch,Physics branch,572,522.28125,9.75142396317612,22.27615197147015,1.867082910438795,4.265164022539609
400V__400v-6_4us_000_ALL_csv,400,6.4 us,NN branch,NN branch,665,521.84375,5.536908968577745,11.17817759954756,1.0610281273997715,2.1420545133572184
400V__400v-6_4us_000_ALL_csv,400,6.4 us,Physics branch,Physics branch,665,521.84375,8.678838350009517,20.257328680877045,1.6631105287760017,3.881876266770857
400V__400v-7_3us_000_ALL_csv,400,7.3 us,NN branch,NN branch,762,525.625,5.4877187373842515,11.035010501647216,1.0440368584797626,2.0994074676142147
400V__400v-7_3us_000_ALL_csv,400,7.3 us,Physics branch,Physics branch,762,525.625,9.216973221477874,19.810881632691594,1.7535264155011412,3.769014341534667
400V__400v-8_2us_000_ALL_csv,400,8.2 us,NN branch,NN branch,854,521.78125,5.517595170530327,10.299914120285342,1.0574537069950918,1.973990847751877
400V__400v-8_2us_000_ALL_csv,400,8.2 us,Physics branch,Physics branch,854,521.78125,9.742951627262917,18.705922269162272,1.8672483204911863,3.5850123531963387
400V__400v-9_1us_000_ALL_csv,400,9.1 us,NN branch,NN branch,952,538.9375,6.211732303283718,10.139860740812901,1.152588621738832,1.8814539238432844
400V__400v-9_1us_000_ALL_csv,400,9.1 us,Physics branch,Physics branch,952,538.9375,10.831381192511714,18.25164773682728,2.0097657321139675,3.386598211634425
600V__Vgs18_000_ALL_csv,600,VGS 18 V,NN branch,NN branch,387,541.0,7.530992130882688,13.289249379372519,1.3920503014570589,2.4564231754847543
