case_name,vds_group_V,panel_title,num_points,peak_time_us,peak_ids_A
400V__400v-10us_000_ALL_csv,400,10 us,1080,0.78111997937,536.71875
400V__400v-1_9us_000_ALL_csv,400,1.9 us,194,0.8129600246299999,526.40625
400V__400v-2_8us_000_ALL_csv,400,2.8 us,290,0.83023996922,523.28125
400V__400v-3_7us_000_ALL_csv,400,3.7 us,384,0.76336004895,522.53125
400V__400v-4_6us_000_ALL_csv,400,4.6 us,479,0.8015201729,524.90625
400V__400v-5_5us_000_ALL_csv,400,5.5 us,572,0.80016002357,522.28125
400V__400v-6_4us_000_ALL_csv,400,6.4 us,665,0.753760105,521.84375
400V__400v-7_3us_000_ALL_csv,400,7.3 us,762,0.75216030382,525.625
400V__400v-8_2us_000_ALL_csv,400,8.2 us,854,0.71328008744,521.78125
400V__400v-9_1us_000_ALL_csv,400,9.1 us,952,0.76112019087,538.9375
600V__Vgs18_000_ALL_csv,600,VGS 18 V,387,0.6760000133,541.0
600V__vgs10_000_ALL_csv,600,VGS 10 V,413,3.6539149733,194.359375
600V__vgs11_000_ALL_csv,600,VGS 11 V,417,2.3654349661,235.53125
600V__vgs12_000_ALL_csv,600,VGS 12 V,420,1.8758350961,281.703125
600V__vgs13_000_ALL_csv,600,VGS 13 V,422,1.5127950519,328.0
600V__vgs14_000_ALL_csv,600,VGS 14 V,426,1.0935950741,377.0625
600V__vgs15_000_ALL_csv,600,VGS 15 V,430,0.9588751481700001,428.015625
600V__vgs9_000_ALL_csv,600,VGS 9 V,408,3.8721550482000002,133.6875
800V__vgs10_000_ALL_csv,800,VGS 10 V,415,2.7164749099,196.1875
800V__vgs11_000_ALL_csv,800,VGS 11 V,419,1.9595149752,239.078125
800V__vgs12_000_ALL_csv,800,VGS 12 V,426,1.248954959,283.8125
800V__vgs13_000_ALL_csv,800,VGS 13 V,460,1.03231514,332.34375
800V__vgs14-ng_000_ALL_csv,800,VGS 14 V NG,418,4.0300001274,660.0
800V__vgs9_000_ALL_csv,800,VGS 9 V,411,3.8601551751000005,157.390625
