# time_s Ids_A Vds_V Vgs_V
4.1919999916e-08 1.0281250000e+01 3.6728125000e+02 9.5156250000e+00
5.1520000710e-08 2.6468750000e+01 3.5714062500e+02 1.0822656631e+01
6.1119997952e-08 4.6812500000e+01 3.4790625000e+02 1.1864843369e+01
7.0719998746e-08 6.3468750000e+01 3.4207812500e+02 1.2649999619e+01
8.0319999540e-08 8.4812500000e+01 3.3687500000e+02 1.3289062500e+01
8.9920000335e-08 1.0834375000e+02 3.3275000000e+02 1.3911718369e+01
9.9520001129e-08 1.2962500000e+02 3.3271875000e+02 1.4518750191e+01
1.0912000192e-07 1.5121875000e+02 3.3637500000e+02 1.4987500191e+01
1.1872000272e-07 1.7806250000e+02 3.4260937500e+02 1.5207031250e+01
1.2831999641e-07 1.9500000000e+02 3.4903125000e+02 1.5678906441e+01
1.3791999720e-07 2.1609375000e+02 3.5618750000e+02 1.6057031631e+01
1.4751999800e-07 2.3131250000e+02 3.6260937500e+02 1.6274999619e+01
1.5711999879e-07 2.5487500000e+02 3.6962500000e+02 1.6485937119e+01
1.6671999958e-07 2.6584375000e+02 3.7200000000e+02 1.6546092987e+01
1.7632000038e-07 2.7850000000e+02 3.7104687500e+02 1.6648437500e+01
1.8592000117e-07 2.9393750000e+02 3.7203125000e+02 1.6771093369e+01
1.9552000197e-07 3.1093750000e+02 3.7035937500e+02 1.6939062119e+01
2.0512000276e-07 3.1878125000e+02 3.6765625000e+02 1.6941406250e+01
2.1472000356e-07 3.2896875000e+02 3.6753125000e+02 1.7132030487e+01
2.2432000435e-07 3.3921875000e+02 3.6528125000e+02 1.7228124619e+01
2.3392000514e-07 3.5115625000e+02 3.6904687500e+02 1.7380468369e+01
2.4351999173e-07 3.6068750000e+02 3.7201562500e+02 1.7493749619e+01
2.5311999252e-07 3.6790625000e+02 3.7507812500e+02 1.7508594513e+01
2.6271999332e-07 3.7781250000e+02 3.7903125000e+02 1.7481250763e+01
2.7231999411e-07 3.8943750000e+02 3.8193750000e+02 1.7646875381e+01
2.8191999490e-07 3.9981250000e+02 3.8390625000e+02 1.7677343369e+01
2.9151999570e-07 4.0250000000e+02 3.8510937500e+02 1.7635156631e+01
3.0111999649e-07 4.1271875000e+02 3.8531250000e+02 1.7782812119e+01
3.1071999729e-07 4.1609375000e+02 3.8467187500e+02 1.7665624619e+01
3.2031999808e-07 4.2334375000e+02 3.8257812500e+02 1.7819530487e+01
3.2991999888e-07 4.3065625000e+02 3.8154687500e+02 1.7778125763e+01
3.3951999967e-07 4.3634375000e+02 3.8040625000e+02 1.7762500763e+01
3.4912000046e-07 4.4215625000e+02 3.8096875000e+02 1.7783594131e+01
3.5872000126e-07 4.4309375000e+02 3.8257812500e+02 1.7814062119e+01
3.6832000205e-07 4.5128125000e+02 3.8304687500e+02 1.7844532013e+01
3.7792000285e-07 4.5462500000e+02 3.8481250000e+02 1.7771093369e+01
3.8752000364e-07 4.6406250000e+02 3.8657812500e+02 1.7966405869e+01
3.9712000444e-07 4.6903125000e+02 3.8859375000e+02 1.7890625000e+01
4.0672000523e-07 4.7034375000e+02 3.8993750000e+02 1.7903125763e+01
4.1632000602e-07 4.7790625000e+02 3.9184375000e+02 1.7814062119e+01
4.2592000682e-07 4.8162500000e+02 3.9164062500e+02 1.7968750000e+01
4.3552000761e-07 4.8462500000e+02 3.8996875000e+02 1.7989063263e+01
4.4512000841e-07 4.8718750000e+02 3.9031250000e+02 1.7851562500e+01
4.5472000920e-07 4.8896875000e+02 3.9017187500e+02 1.7954687119e+01
4.6432001000e-07 4.9725000000e+02 3.8865625000e+02 1.7956249237e+01
4.7392001079e-07 4.9584375000e+02 3.8960937500e+02 1.7906250000e+01
4.8352001158e-07 4.9928125000e+02 3.8868750000e+02 1.8012500763e+01
4.9312001238e-07 5.0212500000e+02 3.8903125000e+02 1.7983592987e+01
5.0272001317e-07 5.0540625000e+02 3.9073437500e+02 1.7836719513e+01
5.1232001397e-07 5.0284375000e+02 3.9248437500e+02 1.7917186737e+01
5.2192001476e-07 5.0740625000e+02 3.9190625000e+02 1.7983592987e+01
5.3152001556e-07 5.1187500000e+02 3.9542187500e+02 1.7972656250e+01
5.4112001635e-07 5.1600000000e+02 3.9543750000e+02 1.8071874619e+01
5.5072001715e-07 5.1900000000e+02 3.9262500000e+02 1.7868749619e+01
5.6032001794e-07 5.2021875000e+02 3.9453125000e+02 1.7914062500e+01
5.6992001873e-07 5.1821875000e+02 3.9375000000e+02 1.8033594131e+01
5.7952001953e-07 5.2321875000e+02 3.9473437500e+02 1.7874217987e+01
5.8912002032e-07 5.2228125000e+02 3.9365625000e+02 1.8006250381e+01
5.9872002112e-07 5.2284375000e+02 3.9371875000e+02 1.7850780487e+01
6.0832002191e-07 5.2490625000e+02 3.9559375000e+02 1.7914062500e+01
6.1792002271e-07 5.2715625000e+02 3.9512500000e+02 1.7987499237e+01
6.2752002350e-07 5.3012500000e+02 3.9537500000e+02 1.7949218750e+01
6.3712002429e-07 5.2903125000e+02 3.9579687500e+02 1.7890625000e+01
6.4672002509e-07 5.3218750000e+02 3.9629687500e+02 1.7879688263e+01
6.5632002588e-07 5.3321875000e+02 3.9628125000e+02 1.7933593750e+01
6.6592002668e-07 5.2928125000e+02 3.9729687500e+02 1.7928125381e+01
6.7552002747e-07 5.3312500000e+02 3.9748437500e+02 1.7881250381e+01
6.8512002827e-07 5.3153125000e+02 3.9612500000e+02 1.7880468369e+01
6.9471997222e-07 5.3440625000e+02 3.9664062500e+02 1.7993749619e+01
7.0431997301e-07 5.3496875000e+02 3.9784375000e+02 1.7861719131e+01
7.1391997380e-07 5.3396875000e+02 3.9784375000e+02 1.8002344131e+01
7.2351997460e-07 5.3253125000e+02 3.9564062500e+02 1.7825000763e+01
7.3311997539e-07 5.3321875000e+02 3.9784375000e+02 1.8000782013e+01
7.4271997619e-07 5.3565625000e+02 3.9671875000e+02 1.7971094131e+01
7.5231997698e-07 5.3578125000e+02 3.9720312500e+02 1.7940624237e+01
7.6191997778e-07 5.3337500000e+02 3.9909375000e+02 1.7979686737e+01
7.7151997857e-07 5.3553125000e+02 3.9948437500e+02 1.7876562119e+01
7.8111997937e-07 5.3671875000e+02 3.9842187500e+02 1.7877344131e+01
7.9071998016e-07 5.3496875000e+02 4.0031250000e+02 1.7992969513e+01
8.0031998095e-07 5.3637500000e+02 3.9820312500e+02 1.7960155487e+01
8.0991998175e-07 5.3375000000e+02 3.9829687500e+02 1.7959375381e+01
8.1951998254e-07 5.3537500000e+02 4.0020312500e+02 1.7993749619e+01
8.2911998334e-07 5.3125000000e+02 3.9948437500e+02 1.7873437881e+01
8.3871998413e-07 5.3231250000e+02 3.9954687500e+02 1.7907812119e+01
8.4831998493e-07 5.3103125000e+02 3.9979687500e+02 1.7955469131e+01
8.5791998572e-07 5.3084375000e+02 3.9795312500e+02 1.7920312881e+01
8.6751998651e-07 5.3028125000e+02 3.9960937500e+02 1.7896875381e+01
8.7711998731e-07 5.3125000000e+02 3.9953125000e+02 1.8008594513e+01
8.8671998810e-07 5.2887500000e+02 4.0029687500e+02 1.8038280487e+01
8.9631998890e-07 5.2956250000e+02 3.9821875000e+02 1.7976562500e+01
9.0591998969e-07 5.2900000000e+02 3.9814062500e+02 1.8000782013e+01
9.1551999049e-07 5.2806250000e+02 3.9915625000e+02 1.8004688263e+01
9.2511999128e-07 5.2696875000e+02 3.9953125000e+02 1.8086719513e+01
9.3471999207e-07 5.2975000000e+02 3.9975000000e+02 1.8021875381e+01
9.4431999287e-07 5.2765625000e+02 4.0042187500e+02 1.7953907013e+01
9.5391999366e-07 5.2406250000e+02 4.0043750000e+02 1.8025781631e+01
9.6352005130e-07 5.2446875000e+02 3.9970312500e+02 1.8085155487e+01
9.7311999525e-07 5.2234375000e+02 4.0043750000e+02 1.8043750763e+01
9.8272005289e-07 5.2243750000e+02 4.0093750000e+02 1.7943750381e+01
9.9231999684e-07 5.1981250000e+02 4.0062500000e+02 1.8091405869e+01
1.0019200545e-06 5.2096875000e+02 4.0045312500e+02 1.7931249619e+01
1.0115199984e-06 5.1818750000e+02 3.9954687500e+02 1.8058593750e+01
1.0211200561e-06 5.1684375000e+02 4.0121875000e+02 1.7946874619e+01
1.0307200000e-06 5.1825000000e+02 3.9878125000e+02 1.8089061737e+01
1.0403199440e-06 5.1753125000e+02 4.0010937500e+02 1.8197656631e+01
1.0499200016e-06 5.1462500000e+02 4.0101562500e+02 1.7969532013e+01
1.0595199456e-06 5.1278125000e+02 4.0087500000e+02 1.8042186737e+01
1.0691200032e-06 5.1290625000e+02 4.0121875000e+02 1.8114843369e+01
1.0787199471e-06 5.1296875000e+02 3.9964062500e+02 1.8060155869e+01
1.0883200048e-06 5.1253125000e+02 4.0081250000e+02 1.8056249619e+01
1.0979199487e-06 5.0981250000e+02 4.0060937500e+02 1.8087499619e+01
1.1075200064e-06 5.0868750000e+02 4.0254687500e+02 1.8151561737e+01
1.1171199503e-06 5.0884375000e+02 4.0028125000e+02 1.7957031250e+01
1.1267200080e-06 5.0850000000e+02 4.0112500000e+02 1.8036718369e+01
1.1363199519e-06 5.0525000000e+02 3.9871875000e+02 1.8176563263e+01
1.1459200095e-06 5.0537500000e+02 4.0045312500e+02 1.8132030487e+01
1.1555199535e-06 5.0593750000e+02 4.0178125000e+02 1.8071094513e+01
1.1651200111e-06 5.0090625000e+02 4.0245312500e+02 1.8032032013e+01
1.1747199551e-06 4.9984375000e+02 4.0059375000e+02 1.8160938263e+01
1.1843200127e-06 5.0150000000e+02 4.0114062500e+02 1.8030467987e+01
1.1939199567e-06 4.9831250000e+02 4.0120312500e+02 1.8105468750e+01
1.2035200143e-06 4.9618750000e+02 4.0157812500e+02 1.8157812119e+01
1.2131199583e-06 4.9303125000e+02 4.0040625000e+02 1.8088281631e+01
1.2227200159e-06 4.9431250000e+02 4.0039062500e+02 1.8176563263e+01
1.2323199599e-06 4.9365625000e+02 4.0109375000e+02 1.8210155487e+01
1.2419200175e-06 4.9059375000e+02 4.0096875000e+02 1.8061717987e+01
1.2515199614e-06 4.8875000000e+02 4.0154687500e+02 1.8224218369e+01
1.2611200191e-06 4.9006250000e+02 4.0153125000e+02 1.8162500381e+01
1.2707199630e-06 4.8993750000e+02 4.0078125000e+02 1.8167186737e+01
1.2803200207e-06 4.8596875000e+02 3.9985937500e+02 1.8135156631e+01
1.2899199646e-06 4.8353125000e+02 4.0109375000e+02 1.8263280869e+01
1.2995200223e-06 4.8553125000e+02 4.0096875000e+02 1.8151561737e+01
1.3091199662e-06 4.8371875000e+02 4.0200000000e+02 1.8244531631e+01
1.3187200238e-06 4.8093750000e+02 4.0126562500e+02 1.8217967987e+01
1.3283199678e-06 4.8175000000e+02 3.9996875000e+02 1.8188282013e+01
1.3379200254e-06 4.7965625000e+02 4.0040625000e+02 1.8232030869e+01
1.3475199694e-06 4.7990625000e+02 3.9950000000e+02 1.8311717987e+01
1.3571200270e-06 4.7728125000e+02 4.0210937500e+02 1.8005468369e+01
1.3667199710e-06 4.7615625000e+02 4.0106250000e+02 1.8196094513e+01
1.3763200286e-06 4.7362500000e+02 4.0029687500e+02 1.8192188263e+01
1.3859199726e-06 4.7615625000e+02 4.0090625000e+02 1.8274219513e+01
1.3955200302e-06 4.7284375000e+02 3.9987500000e+02 1.8151561737e+01
1.4051199742e-06 4.7187500000e+02 4.0039062500e+02 1.8169530869e+01
1.4147200318e-06 4.7021875000e+02 4.0056250000e+02 1.8070312500e+01
1.4243199757e-06 4.6646875000e+02 4.0231250000e+02 1.8265625000e+01
1.4339200334e-06 4.6668750000e+02 3.9957812500e+02 1.8231250763e+01
1.4435199773e-06 4.6559375000e+02 4.0075000000e+02 1.8244531631e+01
1.4531200350e-06 4.6784375000e+02 4.0007812500e+02 1.8193750381e+01
1.4627199789e-06 4.6343750000e+02 4.0014062500e+02 1.8147655487e+01
1.4723200366e-06 4.6368750000e+02 4.0171875000e+02 1.8258594513e+01
1.4819199805e-06 4.5856250000e+02 3.9925000000e+02 1.8190624237e+01
1.4915200381e-06 4.5996875000e+02 4.0062500000e+02 1.8169530869e+01
1.5011199821e-06 4.5853125000e+02 4.0101562500e+02 1.8213281631e+01
1.5107200397e-06 4.5878125000e+02 3.9965625000e+02 1.8190624237e+01
1.5203199837e-06 4.5784375000e+02 4.0009375000e+02 1.8267187119e+01
1.5299200413e-06 4.5646875000e+02 3.9975000000e+02 1.8353124619e+01
1.5395199853e-06 4.5546875000e+02 4.0068750000e+02 1.8360157013e+01
1.5491200429e-06 4.5040625000e+02 3.9843750000e+02 1.8152343750e+01
1.5587199869e-06 4.5081250000e+02 4.0040625000e+02 1.8399999619e+01
1.5683200445e-06 4.4934375000e+02 3.9912500000e+02 1.8282032013e+01
1.5779199884e-06 4.5212500000e+02 3.9987500000e+02 1.8389842987e+01
1.5875200461e-06 4.4803125000e+02 3.9889062500e+02 1.8367187500e+01
1.5971199900e-06 4.4418750000e+02 4.0095312500e+02 1.8335155487e+01
1.6067200477e-06 4.4781250000e+02 4.0110937500e+02 1.8363281250e+01
1.6163199916e-06 4.4825000000e+02 3.9931250000e+02 1.8238281250e+01
1.6259200493e-06 4.4381250000e+02 3.9960937500e+02 1.8257812500e+01
1.6355199932e-06 4.4290625000e+02 3.9959375000e+02 1.8375782013e+01
1.6451200509e-06 4.4193750000e+02 3.9890625000e+02 1.8214843750e+01
1.6547199948e-06 4.4384375000e+02 3.9835937500e+02 1.8282812119e+01
1.6643200524e-06 4.3909375000e+02 3.9831250000e+02 1.8333593369e+01
1.6739199964e-06 4.3578125000e+02 3.9998437500e+02 1.8388280869e+01
1.6835200540e-06 4.3796875000e+02 3.9937500000e+02 1.8357030869e+01
1.6931199980e-06 4.3750000000e+02 3.9965625000e+02 1.8325000763e+01
1.7027200556e-06 4.4043750000e+02 3.9934375000e+02 1.8342187881e+01
1.7123199996e-06 4.3240625000e+02 3.9817187500e+02 1.8271093369e+01
1.7219199435e-06 4.3509375000e+02 4.0060937500e+02 1.8202342987e+01
1.7315200012e-06 4.3228125000e+02 4.0051562500e+02 1.8267187119e+01
1.7411199451e-06 4.3334375000e+02 3.9823437500e+02 1.8369531631e+01
