# epoch total_loss data_loss physics_loss w_data w_physics lr
1.0000000000e+00 1.0851784945e+00 9.8522192240e-01 1.1833252907e+00 4.9543234807e-01 5.0456765147e-01 1.0000000000e-03
2.0000000000e+00 8.6116641760e-01 8.1078165770e-01 9.1016018391e-01 4.9300178339e-01 5.0699821561e-01 1.0000000000e-03
3.0000000000e+00 7.2839081287e-01 6.6862863302e-01 7.8573483229e-01 4.8967557541e-01 5.1032442301e-01 1.0000000000e-03
4.0000000000e+00 5.9945213795e-01 5.4913848639e-01 6.4714163542e-01 4.8661185525e-01 5.1338814248e-01 1.0000000000e-03
5.0000000000e+00 4.6719598770e-01 4.4692254066e-01 4.8635262251e-01 4.8583821174e-01 5.1416178515e-01 1.0000000000e-03
6.0000000000e+00 3.5064119101e-01 3.6049911380e-01 3.4122171998e-01 4.8862796982e-01 5.1137202596e-01 1.0000000000e-03
7.0000000000e+00 2.6309061050e-01 2.8953760862e-01 2.3719492555e-01 4.9473379246e-01 5.0526620184e-01 1.0000000000e-03
8.0000000000e+00 1.9714799523e-01 2.3402310908e-01 1.5957026184e-01 5.0471850383e-01 4.9528148850e-01 1.0000000000e-03
9.0000000000e+00 1.4782898128e-01 1.9992445409e-01 9.0700984001e-02 5.2303775739e-01 4.7696223227e-01 1.0000000000e-03
1.0000000000e+01 1.3233871758e-01 1.9697120786e-01 5.3547669202e-02 5.4935927421e-01 4.5064071249e-01 1.0000000000e-03
1.1000000000e+01 1.3845893741e-01 2.0846085250e-01 4.2822103947e-02 5.7738195534e-01 4.2261802871e-01 1.0000000000e-03
1.2000000000e+01 1.4068478346e-01 2.0714390278e-01 3.9470799267e-02 6.0363870928e-01 3.9636127231e-01 1.0000000000e-03
1.3000000000e+01 1.4160631597e-01 1.9176161289e-01 5.9963408858e-02 6.1945383873e-01 3.8054614073e-01 1.0000000000e-03
1.4000000000e+01 1.4170679450e-01 1.7034550011e-01 9.4622254372e-02 6.2179759601e-01 3.7820238173e-01 1.0000000000e-03
1.5000000000e+01 1.3223728538e-01 1.4573058486e-01 1.1054760963e-01 6.1648204972e-01 3.8351792635e-01 1.0000000000e-03
1.6000000000e+01 1.2036098540e-01 1.2057971209e-01 1.2002605945e-01 6.0494889656e-01 3.9505107774e-01 1.0000000000e-03
1.7000000000e+01 1.1678417027e-01 9.7939178348e-02 1.4335355163e-01 5.8504336668e-01 4.1495660604e-01 1.0000000000e-03
1.8000000000e+01 1.1637123674e-01 7.8323297203e-02 1.6455808282e-01 5.5878657982e-01 4.4121339152e-01 1.0000000000e-03
1.9000000000e+01 1.1433371902e-01 6.4909115434e-02 1.7018386722e-01 5.3051789638e-01 4.6948207357e-01 1.0000000000e-03
2.0000000000e+01 1.1324992776e-01 6.0034815222e-02 1.6729626060e-01 5.0387464432e-01 4.9612532423e-01 1.0000000000e-03
2.1000000000e+01 1.1106909811e-01 5.9952888638e-02 1.5843135118e-01 4.8094011603e-01 5.1905985109e-01 1.0000000000e-03
2.2000000000e+01 1.0370346904e-01 6.0666374862e-02 1.4080366492e-01 4.6295796220e-01 5.3704200324e-01 1.0000000000e-03
2.3000000000e+01 9.3725733459e-02 6.2909871340e-02 1.1906459928e-01 4.5123287674e-01 5.4876708667e-01 1.0000000000e-03
2.4000000000e+01 8.5111543536e-02 6.8616256118e-02 9.8454684019e-02 4.4717971889e-01 5.5282024219e-01 1.0000000000e-03
2.5000000000e+01 7.7856741846e-02 7.7575109899e-02 7.8089319170e-02 4.5229657785e-01 5.4770338070e-01 1.0000000000e-03
2.6000000000e+01 7.2788588703e-02 8.8647559285e-02 5.8884803206e-02 4.6715377272e-01 5.3284618319e-01 1.0000000000e-03
2.7000000000e+01 7.2622284293e-02 1.0116419196e-01 4.5250926167e-02 4.8953247968e-01 5.1046747381e-01 1.0000000000e-03
2.8000000000e+01 7.6864302158e-02 1.1428435892e-01 3.6946430802e-02 5.1614873153e-01 4.8385122000e-01 1.0000000000e-03
2.9000000000e+01 8.2738429308e-02 1.2673155963e-01 2.9954861850e-02 5.4541613927e-01 4.5458381072e-01 1.0000000000e-03
3.0000000000e+01 8.9010477066e-02 1.3684137166e-01 2.4052551016e-02 5.7592519779e-01 4.2407475099e-01 1.0000000000e-03
3.1000000000e+01 9.4399593771e-02 1.4213435352e-01 2.1174568683e-02 6.0536671320e-01 3.9463323458e-01 1.0000000000e-03
3.2000000000e+01 9.6652947366e-02 1.4059323072e-01 2.1295445040e-02 6.3167566056e-01 3.6832428627e-01 1.0000000000e-03
3.3000000000e+01 9.5047421753e-02 1.3280856609e-01 2.3907506838e-02 6.5325278924e-01 3.4674715652e-01 1.0000000000e-03
3.4000000000e+01 9.0723663568e-02 1.2133772671e-01 2.8940329328e-02 6.6866965048e-01 3.3133029405e-01 1.0000000000e-03
3.5000000000e+01 8.4824547172e-02 1.0835044086e-01 3.5485047847e-02 6.7713210121e-01 3.2286784191e-01 1.0000000000e-03
3.6000000000e+01 7.8136548400e-02 9.4942927361e-02 4.2683497071e-02 6.7840485861e-01 3.2159508293e-01 1.0000000000e-03
3.7000000000e+01 7.2008386254e-02 8.2044869661e-02 5.1443345845e-02 6.7202662484e-01 3.2797331507e-01 1.0000000000e-03
3.8000000000e+01 6.8088516593e-02 7.0701926947e-02 6.3067600131e-02 6.5767749574e-01 3.4232244269e-01 1.0000000000e-03
3.9000000000e+01 6.7029640079e-02 6.1492547393e-02 7.6721116900e-02 6.3640067495e-01 3.6359926241e-01 1.0000000000e-03
4.0000000000e+01 6.8264581263e-02 5.4395910352e-02 8.9996144176e-02 6.1043297576e-01 3.8956696094e-01 1.0000000000e-03
4.1000000000e+01 7.1065515280e-02 4.9271229655e-02 1.0142144561e-01 5.8208617541e-01 4.1791376098e-01 1.0000000000e-03
4.2000000000e+01 7.4678942561e-02 4.6021066606e-02 1.1018146574e-01 5.5333998909e-01 4.4665994726e-01 1.0000000000e-03
4.3000000000e+01 7.7543646097e-02 4.4505026191e-02 1.1421356350e-01 5.2604619862e-01 4.7395373779e-01 1.0000000000e-03
4.4000000000e+01 7.8288488090e-02 4.4783562422e-02 1.1206176877e-01 5.0199426772e-01 4.9800566868e-01 1.0000000000e-03
4.5000000000e+01 7.7073216438e-02 4.7007266432e-02 1.0512745380e-01 4.8269328627e-01 5.1730664992e-01 1.0000000000e-03
4.6000000000e+01 7.4347265065e-02 5.0823211670e-02 9.5144830644e-02 4.6924199547e-01 5.3075794025e-01 1.0000000000e-03
4.7000000000e+01 7.0457786322e-02 5.5727578700e-02 8.3130121231e-02 4.6245066195e-01 5.3754927299e-01 1.0000000000e-03
4.8000000000e+01 6.6702045500e-02 6.1790555716e-02 7.0932663977e-02 4.6276154219e-01 5.3723839173e-01 1.0000000000e-03
4.9000000000e+01 6.4133599401e-02 6.9089204073e-02 5.9736974537e-02 4.7011516994e-01 5.2988476282e-01 1.0000000000e-03
5.0000000000e+01 6.2832243741e-02 7.6976813376e-02 4.9568407238e-02 4.8393313897e-01 5.1606679261e-01 1.0000000000e-03
5.1000000000e+01 6.2913194299e-02 8.4309495986e-02 4.1287433356e-02 5.0266685574e-01 4.9733307472e-01 1.0000000000e-03
5.2000000000e+01 6.4074158669e-02 8.9819006622e-02 3.5740558058e-02 5.2393514219e-01 4.7606478726e-01 1.0000000000e-03
5.3000000000e+01 6.5407559276e-02 9.2602103949e-02 3.2781757414e-02 5.4539650495e-01 4.5460342358e-01 1.0000000000e-03
5.4000000000e+01 6.6384978592e-02 9.2631421983e-02 3.2293908298e-02 5.6500627985e-01 4.3499364783e-01 1.0000000000e-03
5.5000000000e+01 6.6848643124e-02 9.0512000024e-02 3.4010179341e-02 5.8119309856e-01 4.1880682831e-01 1.0000000000e-03
5.6000000000e+01 6.6646799445e-02 8.6948916316e-02 3.7042193115e-02 5.9319890469e-01 4.0680102143e-01 1.0000000000e-03
5.7000000000e+01 6.5881401300e-02 8.2575745881e-02 4.0752589703e-02 6.0083502948e-01 3.9916489592e-01 1.0000000000e-03
5.8000000000e+01 6.4877673984e-02 7.7844470739e-02 4.5094139874e-02 6.0407131192e-01 3.9592861280e-01 1.0000000000e-03
5.9000000000e+01 6.3789606094e-02 7.2908543050e-02 4.9938160926e-02 6.0301338161e-01 3.9698654250e-01 1.0000000000e-03
6.0000000000e+01 6.2626913190e-02 6.7806832492e-02 5.4922722280e-02 5.9796102328e-01 4.0203890027e-01 1.0000000000e-03
6.1000000000e+01 6.1487711966e-02 6.2740325928e-02 5.9689562768e-02 5.8941083931e-01 4.1058908372e-01 1.0000000000e-03
6.2000000000e+01 6.0454327613e-02 5.8068092912e-02 6.3724666834e-02 5.7814753874e-01 4.2185238377e-01 1.0000000000e-03
6.3000000000e+01 5.9511918575e-02 5.4153136909e-02 6.6478535533e-02 5.6522409022e-01 4.3477583176e-01 1.0000000000e-03
6.4000000000e+01 5.8747615665e-02 5.1284771413e-02 6.7932493985e-02 5.5171958379e-01 4.4828033760e-01 1.0000000000e-03
6.5000000000e+01 5.8298625052e-02 4.9627535045e-02 6.8420045078e-02 5.3858790340e-01 4.6141201738e-01 1.0000000000e-03
6.6000000000e+01 5.8131590486e-02 4.9215301871e-02 6.8053744733e-02 5.2669696315e-01 4.7330295703e-01 1.0000000000e-03
6.7000000000e+01 5.8169960976e-02 5.0020121038e-02 6.6886998713e-02 5.1681346913e-01 4.8318645047e-01 1.0000000000e-03
6.8000000000e+01 5.8322571218e-02 5.1890671253e-02 6.5004236996e-02 5.0952299227e-01 4.9047692682e-01 1.0000000000e-03
6.9000000000e+01 5.8352425694e-02 5.4445777088e-02 6.2341045588e-02 5.0519048385e-01 4.9480943477e-01 1.0000000000e-03
7.0000000000e+01 5.8100733906e-02 5.7193476707e-02 5.9022206813e-02 5.0388464839e-01 4.9611526976e-01 1.0000000000e-03
7.1000000000e+01 5.7555031031e-02 5.9668783098e-02 5.5395536125e-02 5.0535307396e-01 4.9464684369e-01 1.0000000000e-03
7.2000000000e+01 5.6733198464e-02 6.1491090804e-02 5.1799017936e-02 5.0909530770e-01 4.9090460935e-01 1.0000000000e-03
7.3000000000e+01 5.5802691728e-02 6.2497604638e-02 4.8711176962e-02 5.1438421568e-01 4.8561570067e-01 1.0000000000e-03
7.4000000000e+01 5.4988879710e-02 6.2789723277e-02 4.6524927020e-02 5.2038522914e-01 4.7961468643e-01 1.0000000000e-03
7.5000000000e+01 5.4423388094e-02 6.2622621655e-02 4.5311298221e-02 5.2636610914e-01 4.7363380561e-01 1.0000000000e-03
7.6000000000e+01 5.4191760719e-02 6.2245156616e-02 4.5046448708e-02 5.3174442924e-01 4.6825548471e-01 1.0000000000e-03
7.7000000000e+01 5.4261639714e-02 6.1760313809e-02 4.5595966280e-02 5.3609834703e-01 4.6390156621e-01 1.0000000000e-03
