# time_s Ids_A Vds_V Vgs_V
4.4960000167e-08 1.1250000000e+01 3.6396875000e+02 1.0137499809e+01
5.4560000962e-08 2.2531250000e+01 3.5248437500e+02 1.1339843750e+01
6.4159998203e-08 4.2218750000e+01 3.4593750000e+02 1.2271093369e+01
7.3759998998e-08 6.7406250000e+01 3.3921875000e+02 1.3006250381e+01
8.3359999792e-08 8.6968750000e+01 3.3285937500e+02 1.3620312691e+01
9.2960000586e-08 1.1175000000e+02 3.3298437500e+02 1.4224218369e+01
1.0256000138e-07 1.3434375000e+02 3.3425000000e+02 1.4705469131e+01
1.1216000217e-07 1.5406250000e+02 3.3698437500e+02 1.5125781059e+01
1.2175999586e-07 1.7737500000e+02 3.4412500000e+02 1.5426562309e+01
1.3135999666e-07 1.9850000000e+02 3.5089062500e+02 1.5821874619e+01
1.4095999745e-07 2.1625000000e+02 3.5918750000e+02 1.6138280869e+01
1.5055999825e-07 2.3478125000e+02 3.6470312500e+02 1.6362499237e+01
1.6015999904e-07 2.5140625000e+02 3.6742187500e+02 1.6688282013e+01
1.6975999984e-07 2.6459375000e+02 3.7371875000e+02 1.6635936737e+01
1.7936000063e-07 2.7850000000e+02 3.7340625000e+02 1.6751562119e+01
1.8896000142e-07 2.8834375000e+02 3.7112500000e+02 1.6980468750e+01
1.9856000222e-07 3.0343750000e+02 3.7003125000e+02 1.7086719513e+01
2.0816000301e-07 3.1478125000e+02 3.6804687500e+02 1.7157812119e+01
2.1776000381e-07 3.2609375000e+02 3.6890625000e+02 1.7210937500e+01
2.2736000460e-07 3.3746875000e+02 3.6618750000e+02 1.7226562500e+01
2.3696000540e-07 3.4568750000e+02 3.6771875000e+02 1.7414062500e+01
2.4656000619e-07 3.5375000000e+02 3.7145312500e+02 1.7559375763e+01
2.5616000698e-07 3.6140625000e+02 3.7606250000e+02 1.7584375381e+01
2.6576000778e-07 3.7500000000e+02 3.7987500000e+02 1.7647655487e+01
2.7536000857e-07 3.8218750000e+02 3.8204687500e+02 1.7650781631e+01
2.8496000937e-07 3.8937500000e+02 3.8559375000e+02 1.7652343750e+01
2.9456001016e-07 3.9621875000e+02 3.8660937500e+02 1.7812500000e+01
3.0416001096e-07 4.0353125000e+02 3.8437500000e+02 1.7772655487e+01
3.1376001175e-07 4.1365625000e+02 3.8507812500e+02 1.7829687119e+01
3.2336001254e-07 4.1637500000e+02 3.8482812500e+02 1.7768749237e+01
3.3296001334e-07 4.2390625000e+02 3.8345312500e+02 1.7690624237e+01
3.4256001413e-07 4.2787500000e+02 3.8015625000e+02 1.7858592987e+01
3.5215998651e-07 4.3484375000e+02 3.8156250000e+02 1.7916406631e+01
3.6175998730e-07 4.3556250000e+02 3.8178125000e+02 1.7971874237e+01
3.7135998809e-07 4.4003125000e+02 3.8218750000e+02 1.7882812500e+01
3.8095998889e-07 4.5168750000e+02 3.8435937500e+02 1.7930469513e+01
3.9055998968e-07 4.5306250000e+02 3.8673437500e+02 1.8018749237e+01
4.0015999048e-07 4.5896875000e+02 3.8992187500e+02 1.8068750381e+01
4.0975999127e-07 4.6278125000e+02 3.9160937500e+02 1.8006250381e+01
4.1935999207e-07 4.6900000000e+02 3.9132812500e+02 1.7957031250e+01
4.2895999286e-07 4.7275000000e+02 3.9142187500e+02 1.8074218750e+01
4.3855999365e-07 4.7896875000e+02 3.9065625000e+02 1.7884374619e+01
4.4815999445e-07 4.7987500000e+02 3.9035937500e+02 1.8042968750e+01
4.5775999524e-07 4.7993750000e+02 3.9015625000e+02 1.8015625000e+01
4.6735999604e-07 4.8312500000e+02 3.8857812500e+02 1.7908594131e+01
