# epoch total_loss data_loss physics_loss w_data w_physics lr
1.0000000000e+00 1.1348710060e+00 1.0228505135e+00 1.2447208166e+00 4.9510775451e-01 5.0489224505e-01 1.0000000000e-03
2.0000000000e+00 8.9875304699e-01 8.3779799938e-01 9.5784831047e-01 4.9225416261e-01 5.0774583643e-01 1.0000000000e-03
3.0000000000e+00 7.2977697849e-01 6.8698757887e-01 7.7091306448e-01 4.9015044681e-01 5.0984955165e-01 1.0000000000e-03
4.0000000000e+00 5.8354854584e-01 5.5471217632e-01 6.1111211777e-01 4.8871651486e-01 5.1128348290e-01 1.0000000000e-03
5.0000000000e+00 4.4296681881e-01 4.3669876456e-01 4.4896867871e-01 4.8915216974e-01 5.1084782711e-01 1.0000000000e-03
6.0000000000e+00 3.1426861882e-01 3.3584025502e-01 2.9324033856e-01 4.9362283894e-01 5.0637715663e-01 1.0000000000e-03
7.0000000000e+00 2.1268379688e-01 2.5877794623e-01 1.6561388969e-01 5.0523673749e-01 4.9476325617e-01 1.0000000000e-03
8.0000000000e+00 1.5301443636e-01 2.1052093804e-01 8.9483790100e-02 5.2488560146e-01 4.7511438950e-01 1.0000000000e-03
9.0000000000e+00 1.3667739928e-01 1.8997986615e-01 7.2918951511e-02 5.4466053060e-01 4.5533945746e-01 1.0000000000e-03
1.0000000000e+01 1.5051215887e-01 1.9317695498e-01 9.6914649010e-02 5.5678618363e-01 4.4321380218e-01 1.0000000000e-03
1.1000000000e+01 1.7597582936e-01 2.1048846841e-01 1.3157680631e-01 5.6264215466e-01 4.3735782964e-01 1.0000000000e-03
1.2000000000e+01 1.9357940555e-01 2.2500741482e-01 1.5259836614e-01 5.6596585342e-01 4.3403412981e-01 1.0000000000e-03
1.3000000000e+01 1.9368475676e-01 2.2122688591e-01 1.5750412643e-01 5.6778193376e-01 4.3221804851e-01 1.0000000000e-03
1.4000000000e+01 1.8210643530e-01 1.9817657769e-01 1.6113512218e-01 5.6615824057e-01 4.3384174069e-01 1.0000000000e-03
1.5000000000e+01 1.6796894372e-01 1.6567705572e-01 1.7087137699e-01 5.5877071018e-01 4.4122926998e-01 1.0000000000e-03
1.6000000000e+01 1.4902210236e-01 1.3839226961e-01 1.6196021438e-01 5.4897025660e-01 4.5102972221e-01 1.0000000000e-03
1.7000000000e+01 1.3098502159e-01 1.2529593706e-01 1.3770975173e-01 5.4171323936e-01 4.5828673776e-01 1.0000000000e-03
1.8000000000e+01 1.2153053284e-01 1.2126208842e-01 1.2184241414e-01 5.3742255612e-01 4.6257741918e-01 1.0000000000e-03
1.9000000000e+01 1.1862561852e-01 1.1590161175e-01 1.2172780931e-01 5.3245439858e-01 4.6754557499e-01 1.0000000000e-03
2.0000000000e+01 1.1749258637e-01 1.0780561715e-01 1.2819449604e-01 5.2488928113e-01 4.7511069084e-01 1.0000000000e-03
2.1000000000e+01 1.1680729687e-01 1.0314857960e-01 1.3139122725e-01 5.1637948670e-01 4.8362048381e-01 1.0000000000e-03
2.2000000000e+01 1.1608710885e-01 1.0646308959e-01 1.2612460554e-01 5.1051484730e-01 4.8948512186e-01 1.0000000000e-03
2.3000000000e+01 1.1435432732e-01 1.1669719219e-01 1.1191084981e-01 5.1051020504e-01 4.8948976282e-01 1.0000000000e-03
2.4000000000e+01 1.1217510700e-01 1.2981303036e-01 9.3245930970e-02 5.1765591592e-01 4.8234405068e-01 1.0000000000e-03
2.5000000000e+01 1.1156599224e-01 1.4213876426e-01 7.6985351741e-02 5.3075710411e-01 4.6924286127e-01 1.0000000000e-03
2.6000000000e+01 1.1307179183e-01 1.5060475469e-01 6.7817695439e-02 5.4663252381e-01 4.5336744044e-01 1.0000000000e-03
2.7000000000e+01 1.1466722190e-01 1.5250045061e-01 6.6181257367e-02 5.6170553106e-01 4.3829443220e-01 1.0000000000e-03
2.8000000000e+01 1.1395481229e-01 1.4660799503e-01 7.0103473961e-02 5.7318621439e-01 4.2681374793e-01 1.0000000000e-03
2.9000000000e+01 1.1037588120e-01 1.3406203687e-01 7.7780134976e-02 5.7915151294e-01 4.2084844842e-01 1.0000000000e-03
3.0000000000e+01 1.0509146750e-01 1.1786584556e-01 8.7550632656e-02 5.7861532211e-01 4.2138463825e-01 1.0000000000e-03
3.1000000000e+01 9.9597349763e-02 1.0178112984e-01 9.6678398550e-02 5.7203937217e-01 4.2796058711e-01 1.0000000000e-03
3.2000000000e+01 9.5044538379e-02 8.9428693056e-02 1.0223548859e-01 5.6149448602e-01 4.3850547212e-01 1.0000000000e-03
3.3000000000e+01 9.2580057681e-02 8.3571463823e-02 1.0359044373e-01 5.4999699703e-01 4.5000295996e-01 1.0000000000e-03
3.4000000000e+01 9.3163087964e-02 8.5010431707e-02 1.0274419188e-01 5.4027470544e-01 4.5972525052e-01 1.0000000000e-03
3.5000000000e+01 9.6348807216e-02 9.1449834406e-02 1.0195211321e-01 5.3353208947e-01 4.6646786572e-01 1.0000000000e-03
3.6000000000e+01 9.9709883332e-02 9.7962163389e-02 1.0167479515e-01 5.2924903226e-01 4.7075092240e-01 1.0000000000e-03
3.7000000000e+01 1.0048075020e-01 9.9972262979e-02 1.0104515404e-01 5.2605726136e-01 4.7394269286e-01 1.0000000000e-03
3.8000000000e+01 9.7981661558e-02 9.6488587558e-02 9.9616460502e-02 5.2265403337e-01 4.7734592033e-01 1.0000000000e-03
3.9000000000e+01 9.3894802034e-02 9.0374514461e-02 9.7684778273e-02 5.1844502137e-01 4.8155493164e-01 1.0000000000e-03
4.0000000000e+01 9.0377360582e-02 8.5922650993e-02 9.5090024173e-02 5.1406827041e-01 4.8593168178e-01 1.0000000000e-03
4.1000000000e+01 8.8381178677e-02 8.6170375347e-02 9.0694986284e-02 5.1138232895e-01 4.8861762236e-01 1.0000000000e-03
4.2000000000e+01 8.7752662599e-02 9.1733656824e-02 8.3566285670e-02 5.1257363495e-01 4.8742631553e-01 1.0000000000e-03
4.3000000000e+01 8.8271223009e-02 1.0117473453e-01 7.4350692332e-02 5.1895733838e-01 4.8104261135e-01 1.0000000000e-03
4.4000000000e+01 8.9840814471e-02 1.1167630553e-01 6.5197989345e-02 5.3020039998e-01 4.6979954913e-01 1.0000000000e-03
4.5000000000e+01 9.1819889843e-02 1.1962783337e-01 5.8605488390e-02 5.4429902526e-01 4.5570092332e-01 1.0000000000e-03
4.6000000000e+01 9.2913866043e-02 1.2181472033e-01 5.6395042688e-02 5.5822380288e-01 4.4177614523e-01 1.0000000000e-03
4.7000000000e+01 9.2162422836e-02 1.1702848971e-01 5.9368714690e-02 5.6874515149e-01 4.3125479614e-01 1.0000000000e-03
4.8000000000e+01 8.9904464781e-02 1.0673423856e-01 6.7301832139e-02 5.7319943560e-01 4.2680051153e-01 1.0000000000e-03
4.9000000000e+01 8.7587103248e-02 9.4224385917e-02 7.8776501119e-02 5.7034417259e-01 4.2965577405e-01 1.0000000000e-03
5.0000000000e+01 8.6536921561e-02 8.3031006157e-02 9.1017439961e-02 5.6101543914e-01 4.3898450708e-01 1.0000000000e-03
5.1000000000e+01 8.6836844683e-02 7.5599096715e-02 1.0045341402e-01 5.4785511322e-01 4.5214483270e-01 1.0000000000e-03
5.2000000000e+01 8.7494552135e-02 7.2819076478e-02 1.0432351381e-01 5.3417720468e-01 4.6582274100e-01 1.0000000000e-03
5.3000000000e+01 8.7658539414e-02 7.4352361262e-02 1.0223994404e-01 5.2286344617e-01 4.7713649928e-01 1.0000000000e-03
5.4000000000e+01 8.7331660092e-02 7.9104214907e-02 9.6093550324e-02 5.1572848250e-01 4.8427146270e-01 1.0000000000e-03
5.5000000000e+01 8.6872115731e-02 8.5417032242e-02 8.8406711817e-02 5.1329565698e-01 4.8670428795e-01 1.0000000000e-03
5.6000000000e+01 8.6318552494e-02 9.1290108860e-02 8.1040762365e-02 5.1493982890e-01 4.8506011573e-01 1.0000000000e-03
5.7000000000e+01 8.5572645068e-02 9.5053836703e-02 7.5332880020e-02 5.1923295955e-01 4.8076698474e-01 1.0000000000e-03
5.8000000000e+01 8.4871113300e-02 9.6167102456e-02 7.2418428957e-02 5.2435316902e-01 4.7564677492e-01 1.0000000000e-03
