# time_s Ids_A Vds_V Vgs_V
2.7995000096e-08 1.0390625000e+01 5.8696875000e+02 6.9835939407e+00
3.7595000890e-08 1.6546875000e+01 5.7984375000e+02 7.9507813454e+00
4.7195001684e-08 2.5359375000e+01 5.7445312500e+02 8.9195308685e+00
5.6794998926e-08 3.8390625000e+01 5.6737500000e+02 9.5562496185e+00
6.6395003273e-08 4.9750000000e+01 5.6446875000e+02 1.0079687119e+01
7.5994996962e-08 6.1093750000e+01 5.6020312500e+02 1.0694531441e+01
8.5594997756e-08 7.3375000000e+01 5.6207812500e+02 1.1210937500e+01
9.5194998551e-08 8.3984375000e+01 5.6557031250e+02 1.1470312119e+01
1.0479499934e-07 9.7421875000e+01 5.6798437500e+02 1.1896875381e+01
1.1439500014e-07 1.0757812500e+02 5.7384375000e+02 1.2196093559e+01
1.2399499383e-07 1.2150000000e+02 5.7534375000e+02 1.2415624619e+01
1.3359499462e-07 1.2723437500e+02 5.7932812500e+02 1.2783594131e+01
1.4319499542e-07 1.3815625000e+02 5.7578906250e+02 1.2875000000e+01
1.5279499621e-07 1.4676562500e+02 5.7907031250e+02 1.2923437119e+01
1.6239499701e-07 1.5414062500e+02 5.7700781250e+02 1.3000000000e+01
1.7199499780e-07 1.6487500000e+02 5.7827343750e+02 1.3141406059e+01
1.8159499859e-07 1.7009375000e+02 5.7726562500e+02 1.3285156250e+01
1.9119499939e-07 1.7920312500e+02 5.7782812500e+02 1.3411718369e+01
2.0079500018e-07 1.8414062500e+02 5.8028906250e+02 1.3532031059e+01
2.1039500098e-07 1.9231250000e+02 5.8289062500e+02 1.3660156250e+01
2.1999500177e-07 1.9773437500e+02 5.8488281250e+02 1.3753125191e+01
2.2959500257e-07 2.0495312500e+02 5.8542187500e+02 1.3728124619e+01
2.3919500336e-07 2.0971875000e+02 5.8478906250e+02 1.3822656631e+01
2.4879500415e-07 2.1432812500e+02 5.8668750000e+02 1.3731249809e+01
2.5839500495e-07 2.1690625000e+02 5.8427343750e+02 1.3803125381e+01
2.6799500574e-07 2.2323437500e+02 5.8528125000e+02 1.3900781631e+01
2.7759500654e-07 2.2982812500e+02 5.8408593750e+02 1.3892969131e+01
2.8719500733e-07 2.3435937500e+02 5.8425000000e+02 1.3886718750e+01
2.9679500813e-07 2.3885937500e+02 5.8687500000e+02 1.3972656250e+01
3.0639500892e-07 2.4379687500e+02 5.8856250000e+02 1.4006250381e+01
3.1599500971e-07 2.4828125000e+02 5.8589062500e+02 1.3947656631e+01
3.2559501051e-07 2.5103125000e+02 5.9041406250e+02 1.3953125000e+01
3.3519501130e-07 2.5525000000e+02 5.8961718750e+02 1.4068750381e+01
3.4479501210e-07 2.5726562500e+02 5.9032031250e+02 1.4102343559e+01
3.5439501289e-07 2.6187500000e+02 5.8657031250e+02 1.4078906059e+01
3.6399501369e-07 2.6601562500e+02 5.8734375000e+02 1.4146875381e+01
3.7359498606e-07 2.6878125000e+02 5.8774218750e+02 1.4024218559e+01
3.8319498685e-07 2.7359375000e+02 5.8741406250e+02 1.4179687500e+01
3.9279498765e-07 2.7628125000e+02 5.8722656250e+02 1.4081250191e+01
4.0239498844e-07 2.7884375000e+02 5.8790625000e+02 1.4160156250e+01
4.1199498924e-07 2.8143750000e+02 5.9067187500e+02 1.4171875000e+01
4.2159499003e-07 2.8487500000e+02 5.9165625000e+02 1.4235156059e+01
4.3119499082e-07 2.8931250000e+02 5.9109375000e+02 1.4285156250e+01
4.4079499162e-07 2.9070312500e+02 5.8954687500e+02 1.4216405869e+01
4.5039499241e-07 2.9329687500e+02 5.8980468750e+02 1.4207812309e+01
4.5999499321e-07 2.9642187500e+02 5.8973437500e+02 1.4261718750e+01
4.6959499400e-07 2.9868750000e+02 5.9158593750e+02 1.4232812881e+01
4.7919502322e-07 3.0098437500e+02 5.9053125000e+02 1.4130468369e+01
4.8879502401e-07 3.0467187500e+02 5.9043750000e+02 1.4129687309e+01
4.9839502481e-07 3.0707812500e+02 5.9139843750e+02 1.4257031441e+01
5.0799502560e-07 3.0975000000e+02 5.9172656250e+02 1.4224218369e+01
5.1759502639e-07 3.1007812500e+02 5.9329687500e+02 1.4235156059e+01
5.2719502719e-07 3.1509375000e+02 5.9050781250e+02 1.4251562119e+01
5.3679502798e-07 3.1834375000e+02 5.9193750000e+02 1.4285156250e+01
5.4639497193e-07 3.1875000000e+02 5.9226562500e+02 1.4199999809e+01
5.5599497273e-07 3.2320312500e+02 5.9182031250e+02 1.4244531631e+01
5.6559497352e-07 3.2284375000e+02 5.9069531250e+02 1.4273437500e+01
5.7519497432e-07 3.2660937500e+02 5.9153906250e+02 1.4250781059e+01
5.8479497511e-07 3.2826562500e+02 5.9196093750e+02 1.4315625191e+01
5.9439497591e-07 3.2973437500e+02 5.9203125000e+02 1.4160937309e+01
6.0399497670e-07 3.3195312500e+02 5.9146875000e+02 1.4203906059e+01
6.1359497749e-07 3.3482812500e+02 5.9369531250e+02 1.4274218559e+01
6.2319497829e-07 3.3585937500e+02 5.9303906250e+02 1.4302343369e+01
6.3279497908e-07 3.3698437500e+02 5.9095312500e+02 1.4265625000e+01
6.4239497988e-07 3.3912500000e+02 5.9346093750e+02 1.4239062309e+01
6.5199498067e-07 3.3878125000e+02 5.9268750000e+02 1.4243749619e+01
6.6159498147e-07 3.4364062500e+02 5.9271093750e+02 1.4288281441e+01
6.7119498226e-07 3.4415625000e+02 5.9350781250e+02 1.4267187119e+01
6.8079498305e-07 3.4612500000e+02 5.9554687500e+02 1.4313281059e+01
6.9039498385e-07 3.4637500000e+02 5.9421093750e+02 1.4369531631e+01
6.9999498464e-07 3.4785937500e+02 5.9376562500e+02 1.4163281441e+01
7.0959498544e-07 3.5067187500e+02 5.9369531250e+02 1.4369531631e+01
7.1919498623e-07 3.5050000000e+02 5.9467968750e+02 1.4486719131e+01
7.2879498703e-07 3.5420312500e+02 5.9435156250e+02 1.4207812309e+01
7.3839498782e-07 3.5498437500e+02 5.9353125000e+02 1.4203906059e+01
7.4799498861e-07 3.5592187500e+02 5.9564062500e+02 1.4267187119e+01
7.5759498941e-07 3.5725000000e+02 5.9463281250e+02 1.4247655869e+01
7.6719499020e-07 3.5629687500e+02 5.9542968750e+02 1.4287500381e+01
7.7679499100e-07 3.5845312500e+02 5.9423437500e+02 1.4181249619e+01
7.8639499179e-07 3.6010937500e+02 5.9535937500e+02 1.4313281059e+01
7.9599499259e-07 3.6068750000e+02 5.9299218750e+02 1.4367187500e+01
