# epoch total_loss data_loss physics_loss w_data w_physics lr
1.0000000000e+00 1.6157163382e+00 1.0411435366e+00 2.1516630650e+00 4.8260903848e-01 5.1739096121e-01 1.0000000000e-03
2.0000000000e+00 1.2036287785e+00 1.0510488749e+00 1.3434829712e+00 4.7824184489e-01 5.2175815441e-01 1.0000000000e-03
3.0000000000e+00 9.3851721287e-01 1.0545985699e+00 8.2857519388e-01 4.8641878916e-01 5.1358120968e-01 1.0000000000e-03
4.0000000000e+00 8.1026816368e-01 1.0061044693e+00 6.1454373598e-01 4.9985728400e-01 5.0014271434e-01 1.0000000000e-03
5.0000000000e+00 7.6461756229e-01 9.0134823322e-01 6.2287062407e-01 5.0900664785e-01 4.9099335000e-01 1.0000000000e-03
6.0000000000e+00 6.8662732840e-01 7.6311051846e-01 6.0578548908e-01 5.1385240271e-01 4.8614759462e-01 1.0000000000e-03
7.0000000000e+00 5.4856765270e-01 6.1320281029e-01 4.7893393040e-01 5.1861423467e-01 4.8138576201e-01 1.0000000000e-03
8.0000000000e+00 4.0501999855e-01 4.7007435560e-01 3.3303573728e-01 5.2528455597e-01 4.7471543980e-01 1.0000000000e-03
9.0000000000e+00 3.1727761030e-01 3.5162949562e-01 2.7876743674e-01 5.2853516147e-01 4.7146483314e-01 1.0000000000e-03
1.0000000000e+01 2.9008269310e-01 2.7275788784e-01 3.0904501677e-01 5.2256313749e-01 4.7743685594e-01 1.0000000000e-03
1.1000000000e+01 2.7015662193e-01 2.3031915724e-01 3.1208229065e-01 5.1276968107e-01 4.8723031117e-01 1.0000000000e-03
1.2000000000e+01 2.2546368837e-01 2.0515342057e-01 2.4634495378e-01 5.0693106395e-01 4.9306892685e-01 1.0000000000e-03
1.3000000000e+01 1.6635671258e-01 1.8411709368e-01 1.4774386585e-01 5.1171814673e-01 4.8828184198e-01 1.0000000000e-03
1.4000000000e+01 1.3949781656e-01 1.6522532701e-01 1.1160043627e-01 5.2023200549e-01 4.7976798074e-01 1.0000000000e-03
1.5000000000e+01 1.6667661071e-01 1.5454772115e-01 1.7952845991e-01 5.1447002477e-01 4.8552995984e-01 1.0000000000e-03
