# epoch total_loss data_loss physics_loss w_data w_physics lr
1.0000000000e+00 1.5321602821e+00 9.5535659790e-01 2.0680160522e+00 4.8159903542e-01 5.1840096424e-01 1.0000000000e-03
2.0000000000e+00 1.0779296160e+00 9.0216076374e-01 1.2373454571e+00 4.7560590619e-01 5.2439409304e-01 1.0000000000e-03
3.0000000000e+00 8.4576845169e-01 8.8452047110e-01 8.0996221304e-01 4.8024534536e-01 5.1975465336e-01 1.0000000000e-03
4.0000000000e+00 8.0376040936e-01 8.5425132513e-01 7.5615996122e-01 4.8526634814e-01 5.1473365009e-01 1.0000000000e-03
5.0000000000e+00 7.5019383430e-01 8.0536895990e-01 6.9710969925e-01 4.9034240177e-01 5.0965759597e-01 1.0000000000e-03
6.0000000000e+00 6.4551675320e-01 7.5376605988e-01 5.3740292788e-01 4.9968673645e-01 5.0031326074e-01 1.0000000000e-03
7.0000000000e+00 5.6894910336e-01 7.0861911774e-01 4.2218518257e-01 5.1238311557e-01 4.8761688102e-01 1.0000000000e-03
8.0000000000e+00 5.4297047853e-01 6.7332780361e-01 3.9952230453e-01 5.2390546295e-01 4.7609453304e-01 1.0000000000e-03
9.0000000000e+00 5.1177555323e-01 6.4872276783e-01 3.5341975093e-01 5.3624849988e-01 4.6375149552e-01 1.0000000000e-03
1.0000000000e+01 4.6576955914e-01 6.3481980562e-01 2.5587147474e-01 5.5389635823e-01 4.4610363650e-01 1.0000000000e-03
1.1000000000e+01 4.3480926752e-01 6.3421773911e-01 1.6144369543e-01 5.7821621989e-01 4.2178377411e-01 1.0000000000e-03
1.2000000000e+01 4.4571745396e-01 6.4660865068e-01 1.4126724005e-01 6.0246445816e-01 3.9753553518e-01 1.0000000000e-03
1.3000000000e+01 4.7031962872e-01 6.6039121151e-01 1.5608759224e-01 6.2310084731e-01 3.7689914547e-01 1.0000000000e-03
1.4000000000e+01 4.7539228201e-01 6.6741693020e-01 1.2676237524e-01 6.4482933136e-01 3.5517066089e-01 1.0000000000e-03
1.5000000000e+01 4.7502690554e-01 6.7067474127e-01 7.7913165092e-02 6.6993837888e-01 3.3006161280e-01 1.0000000000e-03
1.6000000000e+01 4.8399731517e-01 6.6999036074e-01 6.0968454927e-02 6.9460365191e-01 3.0539633924e-01 1.0000000000e-03
1.7000000000e+01 4.8996269703e-01 6.5682411194e-01 7.0391215384e-02 7.1546372940e-01 2.8453626125e-01 1.0000000000e-03
1.8000000000e+01 4.8125091195e-01 6.2802445889e-01 7.8781291842e-02 7.3277125293e-01 2.6722873724e-01 1.0000000000e-03
1.9000000000e+01 4.6175995469e-01 5.9022867680e-01 8.1800058484e-02 7.4732201907e-01 2.5267797060e-01 1.0000000000e-03
2.0000000000e+01 4.4152939320e-01 5.5310159922e-01 9.1239355505e-02 7.5842971087e-01 2.4157027828e-01 1.0000000000e-03
2.1000000000e+01 4.2581295967e-01 5.2191650867e-01 1.1342811584e-01 7.6473373219e-01 2.3526625647e-01 1.0000000000e-03
2.2000000000e+01 4.1383612156e-01 4.9647492170e-01 1.4357657731e-01 7.6582832260e-01 2.3417166564e-01 1.0000000000e-03
2.3000000000e+01 4.0297552943e-01 4.7423782945e-01 1.7435894907e-01 7.6236300153e-01 2.3763698634e-01 1.0000000000e-03
2.4000000000e+01 3.9212030172e-01 4.5342397690e-01 2.0299869776e-01 7.5520170252e-01 2.4479828504e-01 1.0000000000e-03
2.5000000000e+01 3.8188806176e-01 4.3402498960e-01 2.2949066758e-01 7.4509445483e-01 2.5490553246e-01 1.0000000000e-03
2.6000000000e+01 3.7301892042e-01 4.1712760925e-01 2.5197196007e-01 7.3292664311e-01 2.6707334396e-01 1.0000000000e-03
2.7000000000e+01 3.6504781246e-01 4.0337154269e-01 2.6657757163e-01 7.1984325859e-01 2.8015672828e-01 1.0000000000e-03
2.8000000000e+01 3.5663512349e-01 3.9175674319e-01 2.7193439007e-01 7.0688589839e-01 2.9311408829e-01 1.0000000000e-03
2.9000000000e+01 3.4687364101e-01 3.8005986810e-01 2.7141806483e-01 6.9453541074e-01 3.0546457574e-01 1.0000000000e-03
3.0000000000e+01 3.3541804552e-01 3.6667993665e-01 2.6810991764e-01 6.8284585697e-01 3.1715412928e-01 1.0000000000e-03
3.1000000000e+01 3.2188481092e-01 3.5221979022e-01 2.5970092416e-01 6.7212098060e-01 3.2787900540e-01 1.0000000000e-03
3.2000000000e+01 3.0722314119e-01 3.3924689889e-01 2.4420586228e-01 6.6305358861e-01 3.3694639707e-01 1.0000000000e-03
3.3000000000e+01 2.9473334551e-01 3.3005976677e-01 2.2737917304e-01 6.5595825928e-01 3.4404172604e-01 1.0000000000e-03
3.4000000000e+01 2.8619614244e-01 3.2422554493e-01 2.1543261409e-01 6.5044223266e-01 3.4955775227e-01 1.0000000000e-03
3.5000000000e+01 2.7919983864e-01 3.1937369704e-01 2.0582133532e-01 6.4620850289e-01 3.5379148165e-01 1.0000000000e-03
3.6000000000e+01 2.7224981785e-01 3.1521391869e-01 1.9473095238e-01 6.4340098388e-01 3.5659900024e-01 1.0000000000e-03
3.7000000000e+01 2.6770862937e-01 3.1343597174e-01 1.8575978279e-01 6.4184907281e-01 3.5815091089e-01 1.0000000000e-03
3.8000000000e+01 2.6587164402e-01 3.1233114004e-01 1.8301959336e-01 6.4071668826e-01 3.5928329506e-01 1.0000000000e-03
3.9000000000e+01 2.6232260466e-01 3.0636918545e-01 1.8432931602e-01 6.3908033934e-01 3.6091964360e-01 1.0000000000e-03
4.0000000000e+01 2.5534057617e-01 2.9370957613e-01 1.8826815486e-01 6.3611071628e-01 3.6388926629e-01 1.0000000000e-03
4.1000000000e+01 2.4834999442e-01 2.7829372883e-01 1.9713778794e-01 6.3103462039e-01 3.6896536183e-01 1.0000000000e-03
4.2000000000e+01 2.4299290776e-01 2.6348596811e-01 2.0902748406e-01 6.2369379565e-01 3.7630618622e-01 1.0000000000e-03
4.3000000000e+01 2.3750758171e-01 2.4922737479e-01 2.1882013977e-01 6.1457272138e-01 3.8542726017e-01 1.0000000000e-03
4.4000000000e+01 2.3256108165e-01 2.3607634008e-01 2.2719775140e-01 6.0407369174e-01 3.9592628950e-01 1.0000000000e-03
4.5000000000e+01 2.3049244285e-01 2.2605600953e-01 2.3694270849e-01 5.9249064883e-01 4.0750933213e-01 1.0000000000e-03
4.6000000000e+01 2.3042184114e-01 2.1911971271e-01 2.4605180323e-01 5.8034672699e-01 4.1965325372e-01 1.0000000000e-03
4.7000000000e+01 2.3057186604e-01 2.1323080361e-01 2.5337314606e-01 5.6801050995e-01 4.3198947055e-01 1.0000000000e-03
4.8000000000e+01 2.3083823919e-01 2.0743253827e-01 2.6009795070e-01 5.5557716090e-01 4.4442281941e-01 1.0000000000e-03
4.9000000000e+01 2.3082879186e-01 2.0258125663e-01 2.6444572210e-01 5.4339622206e-01 4.5660375807e-01 1.0000000000e-03
5.0000000000e+01 2.3035910726e-01 2.0035171509e-01 2.6449167728e-01 5.3215750525e-01 4.6784247472e-01 1.0000000000e-03
5.1000000000e+01 2.2948040068e-01 2.0183019340e-01 2.5975665450e-01 5.2266704498e-01 4.7733293483e-01 1.0000000000e-03
5.2000000000e+01 2.2786173224e-01 2.0677930117e-01 2.5030556321e-01 5.1563905057e-01 4.8436092907e-01 1.0000000000e-03
5.3000000000e+01 2.2672119737e-01 2.1413615346e-01 2.3988506198e-01 5.1123949411e-01 4.8876048536e-01 1.0000000000e-03
5.4000000000e+01 2.2651353478e-01 2.2168762982e-01 2.3151697218e-01 5.0903111703e-01 4.9096886229e-01 1.0000000000e-03
5.5000000000e+01 2.2596523166e-01 2.2714230418e-01 2.2474798560e-01 5.0839292677e-01 4.9160705240e-01 1.0000000000e-03
5.6000000000e+01 2.2561585903e-01 2.3048582673e-01 2.2057437897e-01 5.0865231642e-01 4.9134766262e-01 1.0000000000e-03
5.7000000000e+01 2.2552189231e-01 2.3279531300e-01 2.1796882153e-01 5.0943167893e-01 4.9056829999e-01 1.0000000000e-03
5.8000000000e+01 2.2440622747e-01 2.3471868038e-01 2.1363675594e-01 5.1083953795e-01 4.8916044085e-01 1.0000000000e-03
5.9000000000e+01 2.2278808057e-01 2.3648597300e-01 2.0836372674e-01 5.1291645351e-01 4.8708352516e-01 1.0000000000e-03
6.0000000000e+01 2.2116994858e-01 2.3708423972e-01 2.0424792171e-01 5.1534494348e-01 4.8465503506e-01 1.0000000000e-03
6.1000000000e+01 2.1946358681e-01 2.3528936505e-01 2.0248591900e-01 5.1755705572e-01 4.8244292267e-01 1.0000000000e-03
6.2000000000e+01 2.1803046763e-01 2.3151540756e-01 2.0347879827e-01 5.1902399062e-01 4.8097598764e-01 1.0000000000e-03
6.3000000000e+01 2.1698737144e-01 2.2748348117e-01 2.0563279092e-01 5.1964408738e-01 4.8035589074e-01 1.0000000000e-03
6.4000000000e+01 2.1647565067e-01 2.2496041656e-01 2.0729403198e-01 5.1972319424e-01 4.8027678375e-01 1.0000000000e-03
6.5000000000e+01 2.1623529494e-01 2.2474353015e-01 2.0702533424e-01 5.1980268853e-01 4.8019728935e-01 1.0000000000e-03
6.6000000000e+01 2.1584239602e-01 2.2671134770e-01 2.0404630899e-01 5.2045325256e-01 4.7954672521e-01 1.0000000000e-03
6.7000000000e+01 2.1555498242e-01 2.3012496531e-01 1.9964680076e-01 5.2195378074e-01 4.7804619693e-01 1.0000000000e-03
6.8000000000e+01 2.1527646482e-01 2.3364795744e-01 1.9503110647e-01 5.2426256946e-01 4.7573740811e-01 1.0000000000e-03
6.9000000000e+01 2.1482910216e-01 2.3652999103e-01 1.9063046575e-01 5.2720894397e-01 4.7279103350e-01 1.0000000000e-03
7.0000000000e+01 2.1459457278e-01 2.3926033080e-01 1.8670655787e-01 5.3065681094e-01 4.6934316644e-01 1.0000000000e-03
7.1000000000e+01 2.1464937925e-01 2.4241806567e-01 1.8275079131e-01 5.3460801996e-01 4.6539195733e-01 1.0000000000e-03
7.2000000000e+01 2.1491077542e-01 2.4596568942e-01 1.7858943343e-01 5.3908214099e-01 4.6091783622e-01 1.0000000000e-03
